DTXSID,true_cas,true_chemname,status,ATMOSPHERIC_HYDROXYLATION_RATE_.AOH._CM3.MOLECULE.SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM.M3.MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L.KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL.L_OPERA_PRED
DTXSID0020076,61-82-5,Amitrole,uc,2.15305e-11,3.09109,4.50172,258.099,3.07176e-8,0.139703,7.08539,17.7237,-0.920745,158.926,4.40587e-7,3.3032
DTXSID0020105,134-03-2,Sodium L-ascorbate,uc,8.13797e-12,2.05358,3.53988,274.055,8.44548e-10,0.0921521,8.12372,151.535,-2.16424,177.667,1.2512e-7,2.07263
DTXSID0020151,140-11-4,Benzyl acetate,nbc,1.13655e-11,6.32238,4.48246,213.17,3.97254e-7,0.13412,4.83138,72.6146,1.96276,-46.9733,0.174472,0.0204983
DTXSID0020153,100-44-7,Benzyl chloride,uc,2.90498e-12,68.3464,4.86936,178.7,0.00291872,0.132737,4.15646,75.1454,2.30213,-44.0114,1.23752,0.00484108
DTXSID0020232,58-08-2,Caffeine,uc,1.01525e-11,1.87705,3.8183,286.293,1.55451e-6,0.119967,8.51986,62.3044,-0.0709947,237.711,2.06086e-6,0.111749
DTXSID0020234,62-54-4,Calcium acetate,uc,7.40536e-13,4.34366,4.59912,117.958,1.00453e-7,0.102194,4.23032,1.00727,-1.61104,268.97,15.6073,13.4017
DTXSID0020236,814-80-2,Calcium lactate,uc,1.63993e-12,4.19671,5.43152,208.699,8.92977e-9,0.0844451,6.72122,10.1804,-1.51452,234.432,0.0809846,3.22296
DTXSID0020311,150-68-5,Monuron,nbc,1.23255e-11,35.0194,5.19492,300.004,1.64113e-9,0.0805551,9.30031,88.8744,1.94076,170.356,4.98947e-7,0.00124542
DTXSID0020315,76-06-2,Chloropicrin,bc,4.96914e-15,19.1064,4.62777,112.163,0.00206106,2.61812,3.07711,61.6589,2.08833,-63.9305,24.0246,0.0180425
DTXSID0020319,1897-45-6,Chlorothalonil,nbc,2.83527e-12,63.2267,4.67662,349.957,2.00832e-6,1.85629,8.49259,1820.27,2.97569,249.868,5.72958e-7,2.4103e-6
DTXSID0020365,59865-13-3,Cyclosporin A,uc,1.85455e-10,10.5726,14.8891,380.069,2.26441e-11,0.336594,9.63211,30813.5,2.92003,149.502,1.26807e-7,1.82241e-4
DTXSID0020369,891986,Dacarbazine,bc,1.02451e-11,2.10972,4.65815,291.315,5.99499e-9,0.122722,7.94706,29.1652,-0.239979,204.99,3.52734e-10,6.65943e-4
DTXSID0020440,120-36-5,Dichlorprop,nbc,1.16471e-11,3.54397,3.53597,298.485,3.01412e-9,0.144763,9.1961,169.177,2.82704,122.077,7.66774e-8,0.00196396
DTXSID0020442,94-75-7,"2,4-Dichlorophenoxyacetic acid",nbc,8.50675e-12,3.33894,3.54877,300.498,2.95974e-9,0.214166,8.64937,45.9586,2.80925,140.55,2.88557e-7,0.00684596
DTXSID0020446,330-54-1,Diuron,bc,1.2044e-11,14.1888,4.50986,323.021,1.52783e-9,0.0356043,9.95684,250.231,2.6782,157.942,6.91869e-8,1.73803e-4
DTXSID0020448,78-87-5,"1,2-Dichloropropane",bc,5.29342e-13,7.08405,7.5986,95.4989,0.00279293,0.0871525,2.98922,46.7811,1.98521,-99.53,53.4504,0.0245097
DTXSID0020498,120-61-6,Dimethyl terephthalate,nbc,1.01484e-11,4.18777,3.67715,284.522,7.62244e-8,0.224414,5.71834,43.6981,2.24539,101.938,0.00994344,1.01288e-4
DTXSID0020523,51-28-5,"2,4-Dinitrophenol",uc,8.60823e-13,3.72842,4.59405,349.667,8.62358e-8,0.134401,7.33762,221.923,1.67226,115.365,3.8742e-4,0.00252445
DTXSID0020573,50-28-2,17beta-Estradiol,bc,1.65916e-11,40.8171,97.1681,372.628,3.74887e-6,1.48967,9.15263,348684,3.90868,199.93,3.41838e-10,1.33658e-5
DTXSID0020575,140-67-0,Estragole,uc,7.07045e-11,22.3449,3.53958,215.568,9.7665e-6,1.31698,4.97959,1632.39,3.0209,-8.09962,0.173779,0.00120565
DTXSID0020600,75-21-8,Ethylene oxide,bc,7.66762e-14,1.50786,7.57226,10.5499,1.47922e-4,0.194636,2.07689,3.07646,-0.299668,-111.716,1305.87,22.6296
DTXSID0020606,103-23-1,Bis(2-ethylhexyl)hexanedioate,nbc,1.20555e-11,233.853,5.69219,416.901,4.33746e-7,1.66653,10.8342,15479.1,6.85125,-67.4374,8.51809e-7,2.10993e-6
DTXSID0020652,25812-30-0,Gemfibrozil,uc,1.69512e-11,3.16529,3.52559,326.668,5.71501e-9,0.893501,9.602,216.122,4.43118,62.1199,9.32744e-6,2.48011e-4
DTXSID0020654,105-87-3,Geranyl acetate,uc,1.64446e-10,18.9829,4.96146,238.317,6.79364e-5,0.270924,5.77618,470.456,4.04073,-53.0753,0.0330885,2.82547e-4
DTXSID0020656,77-06-5,Gibberellic acid,uc,1.17654e-10,4.76259,149.305,387.795,1.93166e-11,0.296003,9.29628,39069.9,0.242195,233.988,7.25685e-10,0.0136008
DTXSID0020737,120-72-9,Indole,uc,1.5362e-10,7.90322,4.54575,254.046,2.53949e-6,0.147792,7.46364,120.115,2.14105,52.8228,0.0122002,0.0301097
DTXSID00208089,5934-29-2,L-Histidine hydrochloride monohydrate,uc,1.03113e-11,3.84528,3.53634,290.063,3.95886e-9,0.147277,8.12401,58.6375,-0.972624,209.008,5.77532e-8,0.294807
DTXSID0020814,72-33-3,Mestranol,bc,2.87738e-11,279.866,94.6366,346.828,2.04946e-7,2.87092,11.4354,540126,4.15031,150.621,8.38536e-9,6.79998e-6
DTXSID0020868,75-09-2,Dichloromethane,bc,1.41459e-13,22.7535,15.2515,39.9752,0.00326427,0.308641,2.29107,27.5998,1.25139,-94.9247,432.972,0.176432
DTXSID0021096,102-77-2,N-Oxydiethylene-2-benzothiazylsulfenamide,uc,1.42644e-11,7.69026,5.371,353.637,2.28646e-6,0.193906,8.97055,273.612,2.32726,85.0409,3.34158e-6,2.1437e-4
DTXSID0021125,77-09-8,Phenolphthalein,nbc,7.25064e-11,29.6681,44.1389,404.143,1.85326e-10,1.04137,9.43458,19926.5,2.88965,262.5,2.03098e-9,0.00125778
DTXSID0021177,298-14-6,Potassium bicarbonate,uc,2.50079e-14,4.92728,7.57763,299.147,3.7792e-9,0.142856,6.36654,3.85959,-0.991871,139.401,0.0105684,0.0170393
DTXSID0021206,57-55-6,"1,2-Propylene glycol",uc,1.2016e-11,3.38004,4.268,187.669,6.05478e-8,0.0593024,6.73741,2.3048,-0.918877,-59.8063,0.127532,13.1545
DTXSID0021333,97-74-5,Tetramethylthiuram monosulfide,uc,3.78381e-11,8.36127,13.786,282.531,4.63217e-9,0.428314,6.56113,106.829,0.937366,109.391,2.52288e-5,1.72111e-4
DTXSID0021337,148-79-8,Thiabendazole,nbc,4.33375e-11,7.89022,3.53815,335.969,6.92464e-8,0.14564,10.0496,1739.36,2.46847,299.714,4.03651e-9,2.519e-4
DTXSID0021339,52-24-4,Thiotepa,bc,5.06946e-11,3.63172,6.16156,228.641,3.39912e-7,0.424107,5.74651,133.855,0.529685,51.5369,0.00410152,1.00249
DTXSID0021381,71-55-6,"1,1,1-Trichloroethane",uc,9.64575e-15,5.03713,5.94324,74.1021,0.0169999,0.0410412,2.72292,88.9775,2.48961,-30.5694,122.759,0.0101923
DTXSID0021385,133-07-3,Folpet,nbc,6.41488e-12,49.7257,8.75993,319.278,1.19077e-7,0.98696,9.45726,1855.8,2.8482,150.663,1.57511e-7,2.72364e-6
DTXSID0021387,93-72-1,"2-(2,4,5-Trichlorophenoxy)propionic acid",uc,1.15984e-11,3.18299,3.53748,321.868,1.59552e-9,0.169363,8.59486,56.4311,3.79814,181.349,7.44719e-6,3.56901e-4
DTXSID0021389,52-68-6,Trichlorfon,nbc,1.95435e-11,1.03139,4.13785,290.878,1.4714e-7,0.185821,9.23857,79.0365,0.511388,76.9546,7.85214e-6,0.515308
DTXSID0021414,78-42-2,Tris(2-ethylhexyl) phosphate,nbc,1.74349e-11,50.1745,4.22722,411.783,2.42642e-6,0.513773,11.6938,12716,9.20331,-73.9686,8.28284e-8,2.4091e-6
DTXSID0021462,136-23-2,Zinc dibutyldithiocarbamate,uc,1.83898e-11,78.499,4.89267,272.116,1.88655e-7,6.86685,5.95247,207.754,-1.90293,110.834,0.00179558,6.68674e-6
DTXSID0021541,74-87-3,Chloromethane,uc,4.3627e-14,9.68608,13.7954,-24.0301,0.00883123,0.18161,1.40186,12.5443,1.0801,-97.8222,4252.6,0.113079
DTXSID00215536,65235-31-6,4-((2-Hydroxyethyl)amino)-3-nitrophenol,uc,1.33447e-11,10.5883,3.10327,294.534,3.93902e-8,0.318712,8.32111,203.423,1.14603,182.079,3.75433e-9,0.0274333
DTXSID0021597,111-71-7,Heptanal,uc,2.75182e-11,20.4818,4.45027,152.628,2.68911e-4,0.522314,3.87073,24.2756,1.93382,-42.8569,3.50088,0.0147276
DTXSID0021599,629-08-3,Heptanenitrile,uc,5.27409e-12,12.3891,3.67539,182.972,5.37555e-5,3.63168,3.83984,25.2389,1.67415,-48.7423,0.896052,0.00331757
DTXSID0021759,78-83-1,2-Methyl-1-propanol,uc,1.16967e-11,4.04713,3.67057,107.701,9.7678e-6,0.0751601,3.89376,12.0246,0.761386,-107.885,10.452,1.11957
DTXSID0021834,100-02-7,4-Nitrophenol,uc,1.15545e-12,11.3561,4.0957,278.91,4.20765e-10,0.251436,6.11321,233.12,1.91211,113.564,9.97059e-5,0.0967929
DTXSID0021888,107-87-9,2-Pentanone,uc,4.65317e-12,5.52301,4.44615,102.02,8.29734e-5,0.171819,3.20144,19.0784,0.909727,-72.0089,35.2113,0.566452
DTXSID0021917,110-54-3,n-Hexane,uc,5.60844e-12,124.937,8.96342,68.599,0.492255,0.473709,2.56013,165.951,3.90054,-96.2548,150.711,1.26707e-4
DTXSID0021961,119-61-9,Benzophenone,bc,1.24758e-12,12.1482,5.25122,305.417,7.12881e-7,0.067719,7.25371,426.789,3.18141,48.2661,0.00191301,7.51735e-4
DTXSID0021969,121-33-5,4-Hydroxy-3-methoxybenzaldehyde,uc,1.74898e-11,4.85372,3.54186,285.024,1.8334e-9,0.122964,7.47953,88.4682,1.19255,82.0226,1.1694e-4,0.0717468
DTXSID0022010,143-28-2,cis-Oleyl alcohol,uc,8.03281e-11,790.788,5.39744,331.026,5.96149e-6,0.72362,10.5878,2674.97,7.61385,50.5074,1.94959e-6,8.81031e-8
DTXSID0022018,298-04-4,Disulfoton,bc,4.51126e-11,218.225,142.53,313.428,4.77287e-6,1.07086,9.36263,1654.28,4.0184,-24.9887,9.80382e-5,6.60893e-5
DTXSID0022062,563-80-4,3-Methyl-2-butanone,uc,2.87119e-12,4.00464,4.10839,94.2465,7.08971e-5,0.178068,2.72597,19.2271,0.841394,-88.4292,52.1661,0.720751
DTXSID0022068,591-78-6,2-Hexanone,uc,9.09918e-12,5.29733,4.43898,125.545,5.27967e-5,0.174174,3.61748,27.5003,1.38047,-55.6268,11.6621,0.163405
DTXSID0022301,70124-77-5,Flucythrinate,uc,2.50508e-11,507.724,4.50403,413.551,4.06992e-8,10.0341,11.6903,100066,6.19929,133.358,8.67689e-9,2.66633e-7
DTXSID0022432,218-01-9,Chrysene,uc,2.81404e-11,420.28,377.401,436.862,5.28503e-6,3.85787,9.37103,204192,5.80864,220.498,6.66949e-9,1.3808e-8
DTXSID0022519,59-30-3,Folic acid,uc,2.83694e-11,6.49369,6.59457,290.203,2.05915e-11,0.210951,9.53771,45.4183,-0.0321543,180.771,1.27997e-9,3.65187e-6
DTXSID0022563,54965-21-8,Albendazole,uc,1.65443e-11,9.39176,3.53565,276.894,7.19771e-9,0.501858,9.34695,557.458,3.06823,209.086,9.93532e-10,2.111e-6
DTXSID00226021,75050-77-0,Ferric saccharate,uc,3.36083e-12,3.07305,3.10791,323.376,1.18074e-11,0.312995,8.21851,89.9236,-1.98632,142.793,9.24441e-11,0.22881
DTXSID0022727,514-78-3,Canthaxanthin,uc,2.94614e-11,9038.82,7.55321,435.011,1.35286e-6,0.808478,11.6748,30875.3,9.72907,175.032,7.85892e-10,8.10589e-7
DTXSID0022773,73384-59-5,Ceftriaxone,uc,6.49468e-11,3.73461,145.59,310.043,1.71324e-11,0.360431,9.5056,48.6563,1.08547,179.106,1.29538e-9,4.47765e-4
DTXSID0022777,169590-42-5,Celecoxib,uc,1.37608e-11,7.972,3.54862,292.169,5.14766e-9,0.420888,10.8686,329.963,3.56624,158.086,3.07764e-11,4.2098e-6
DTXSID0022985,299-42-3,Ephedrine,uc,1.56397e-11,5.5859,3.32406,255.052,1.14118e-7,0.110967,7.84948,128.506,1.49366,90.449700000000007,0.0275509,0.366039
DTXSID0022989,133040-01-4,Eprosartan,uc,1.67307e-11,17.926,14.1094,321.238,1.90276e-9,0.107705,9.61891,49806.9,3.55641,179.892,7.0382e-10,8.67868e-6
DTXSID0023038,104227-87-4,Famciclovir,uc,1.19883e-10,1.49926,5.68836,328.393,1.27401e-9,1.16149,9.47348,136.47,-0.160581,207.117,3.79875e-7,0.0442258
DTXSID0023086,1859240,Fusidic acid,uc,1.33974e-10,24.2523,98.6246,402.786,5.949e-10,1.10449,9.43346,80621.1,3.03106,192.559,7.99083e-10,9.10689e-5
DTXSID0023111,109889-09-0,Granisetron,uc,1.73027e-11,4.54634,4.76857,336.582,1.54092e-10,2.47146,10.6599,1963.9,2.65332,144.097,4.3783e-9,4.14632e-4
DTXSID0023113,90-05-1,2-Methoxyphenol,uc,9.36065e-11,9.79286,4.49369,205.203,1.18121e-6,0.201307,5.91234,36.5838,1.31993,31.8518,0.101768,0.0699075
DTXSID0023117,113-00-8,Guanidine,uc,3.75914e-11,2.77138,5.73803,257.478,4.84684e-9,0.138483,5.89607,3.63133,-1.10179,50.0986,1.68587e-5,0.0311823
DTXSID00231231,81646-13-1,Behentrimonium methosulfate,uc,8.81243e-12,229.364,100.653,395.708,7.91832e-7,3.48605,10.1232,10187.7,0.686581,144.485,1.55806e-6,1.21633e-8
DTXSID0023163,73334-07-3,Iopromide,uc,1.77529e-11,5.41602,34.8646,401.517,1.42654e-11,0.142832,9.55122,48.6557,-2.05051,204.206,1.68516e-8,0.0130323
DTXSID0023169,138402-11-6,Irbesartan,uc,3.32835e-11,36.5567,34.7918,328.361,2.84821e-9,1.55533,10.2401,21488.3,3.88985,174.311,2.98537e-9,7.33289e-6
DTXSID0023296,61-73-4,Methylene blue,uc,1.4386e-11,15.6431,32.2807,341.65,1.52336e-6,1.36131,10.4192,738.432,0.625737,195.214,6.1407e-8,0.134518
DTXSID0023325,61337-67-5,Mirtazapine,uc,6.29191e-11,12.9126,30.8029,333.882,1.51333e-6,1.72614,8.52201,629.913,1.53195,147.129,9.1655e-8,2.78782e-4
DTXSID0023329,68693-11-8,Modafinil,uc,1.78462e-11,13.418,15.0901,365.938,2.32558e-9,0.266397,10.5332,810.008,2.40115,196.192,6.7506e-9,2.59733e-4
DTXSID0023379,52-78-8,Norethandrolone,uc,6.10152e-11,35.3235,97.467,311.818,4.3886e-9,3.40764,11.1601,557697,3.28536,140.428,7.37049e-8,2.69412e-5
DTXSID0023458,59-96-1,Phenoxybenzamine,uc,1.65687e-11,360.596,3.3609,342.142,3.83226e-7,2.3055,9.39202,1961.19,3.80418,39.3969,1.60886e-6,7.70139e-5
DTXSID0023533,24305-27-9,Protirelin,uc,3.17406e-11,2.02179,3.35109,306.341,1.49527e-11,0.204338,9.45517,59.2679,-2.45799,194.132,1.05811e-8,0.0228466
DTXSID0023537,90-82-4,Pseudoephedrine,uc,1.56397e-11,5.5859,3.32406,255.052,1.14118e-7,0.110967,7.84948,128.506,1.49366,90.449700000000007,0.0275509,0.366039
DTXSID0023581,79902-63-9,Simvastatin,uc,1.39421e-10,28.8615,7.60978,389.429,3.51005e-8,1.06881,10.3321,71462.4,4.67688,136.588,1.2832e-8,2.26473e-6
DTXSID0023612,127-79-7,Sulfamerazine,uc,1.39071e-11,2.23524,3.35842,302.891,7.37659e-11,0.0945806,9.20134,194.906,0.14131,236.475,8.66734e-10,0.00397114
DTXSID0023745,58-86-6,D-Xylose,uc,3.5716e-11,1.66249,3.55969,311.335,9.76586e-9,0.115881,7.17639,56.6061,-2.31953,157.974,8.95823e-10,2.44109
DTXSID0023747,7481-89-2,"2',3'-Dideoxycytidine",uc,2.75961e-11,1.63043,3.53593,343.723,1.1368e-8,0.259693,8.18015,43.4547,-1.30002,217.482,5.01955e-10,0.360902
DTXSID0023749,139110-80-8,Zanamivir,uc,2.20126e-11,2.64648,4.11246,288.339,2.33305e-11,0.330387,9.56696,65.5081,-1.32373,185.423,2.38149e-11,0.0305088
DTXSID0023826,4098-71-9,Isophorone diisocyanate,uc,2.18067e-11,100.603,5.54706,281.199,4.6973e-7,0.555248,4.74012,124.088,1.86534,142.444,0.00118675,2.28388e-4
DTXSID0023870,504-24-5,4-Aminopyridine,uc,3.32233e-11,3.09076,4.58507,268.832,4.68613e-7,0.174197,4.9866,17.9284,0.31946,157.22,0.0537924,0.929921
DTXSID0023878,120-12-7,Anthracene,uc,1.07119e-10,1839.89,122.522,339.957,5.54362e-5,4.46837,7.55002,20375.7,4.45094,156.882,7.09257e-6,1.42962e-6
DTXSID0023901,25057-89-0,Bentazone,nbc,1.67617e-11,1.41807,4.89764,303.704,2.58515e-10,0.144842,9.81435,33.9068,2.33723,138.102,3.43124e-6,0.0021594
DTXSID0023907,205-99-2,Benzo(b)fluoranthene,uc,1.07165e-10,748.588,172.545,344.844,1.60824e-5,1.03196,8.63832,418669,5.77942,168.208,4.92819e-7,8.41985e-9
DTXSID0023909,207-08-9,Benzo(k)fluoranthene,uc,2.00863e-11,1272.08,350.547,479.711,5.86645e-7,0.871903,9.384,22054.3,6.10891,216.788,9.7743e-10,3.22556e-9
DTXSID00239494,93633-24-0,2-(2-(4-(2-Methylheptan-2-yl)phenoxy)ethoxy)ethanol,uc,1.67051e-11,244.414,5.00003,292.995,5.93285e-9,1.21086,10.6634,847.052,3.68284,34.9151,2.34038e-6,0.00144629
DTXSID0023951,5234-68-4,Carboxin,nbc,1.79808e-11,8.05338,3.165,315.742,3.05944e-8,0.103105,10.6391,256.564,2.14048,91.5922,1.50023e-7,6.98e-4
DTXSID0023955,90982-32-4,Chlorimuron-ethyl,uc,1.65739e-11,7.19268,4.27962,264.66,5.57341e-11,0.163622,9.58135,109.606,2.49725,184.366,3.78229e-11,0.0028595
DTXSID0024000,1861-32-1,Chlorthal-dimethyl,nbc,6.42224e-12,246.4,5.86679,364.957,1.70612e-8,6.59403,8.97061,4985.85,4.27803,154.744,2.50046e-6,1.13731e-6
DTXSID0024002,39515-41-8,Fenpropathrin,nbc,2.49171e-11,217.706,3.5427,370.489,1.07491e-7,1.29438,10.4579,17263.6,5.69778,47.0761,3.44651e-6,2.1202e-7
DTXSID0024050,75-37-6,"1,1-Difluoroethane",uc,3.40526e-14,10.1713,7.57326,-24.8203,0.0203249,0.160062,0.468927,19.8789,0.749271,-117.06,4524.23,0.0483628
DTXSID0024052,55290-64-7,Dimethipin,uc,2.75564e-12,2.00975,8.06992,290.107,2.3384e-10,0.0748373,5.73464,3.03788,-0.167604,164.864,3.86065e-7,0.0161008
DTXSID0024183,96-33-3,Methyl acrylate,uc,2.21142e-11,4.02563,4.12419,80.0105,1.66907e-4,0.120886,2.74583,18.2717,0.799882,-77.3658,86.135,0.583658
DTXSID0024187,74-88-4,Methyl iodide,uc,7.19871e-14,10.6312,19.2845,42.5328,0.00524454,0.20054,2.27857,75.8763,1.51107,-66.9819,403.715,0.099416
DTXSID0024216,1929-82-4,Nitrapyrin,nbc,2.28367e-11,661.578,5.88915,266.246,1.6051e-4,10.6221,5.75483,418.297,3.41029,63.0277,0.00482165,2.06269e-4
DTXSID0024266,29232-93-7,Pirimiphos-methyl,nbc,1.73402e-11,11.5293,4.73242,337.797,3.45667e-7,2.04367,10.8223,998.039,4.19741,14.9997,1.50282e-5,3.61291e-5
DTXSID0024268,151-50-8,Potassium cyanide,uc,3.00402e-14,1.9792,8.20889,25.6428,1.33572e-4,0.171334,0.437106,2.76794,-0.132382,182.392,738.974,20.1894
DTXSID0024343,66841-25-6,Tralomethrin,nbc,2.52274e-11,2064.27,3.35695,460.537,2.32371e-6,3.67431,11.6795,99931.9,5.00851,142.889,3.62709e-11,1.2065e-7
DTXSID0024345,82097-50-5,Triasulfuron,bc,1.38607e-11,11.165,4.27448,264.744,8.17988e-11,0.160697,9.57664,104.672,1.10231,185.971,1.65322e-11,2.35597e-4
DTXSID0024395,108-24-7,Acetic anhydride,uc,1.77856e-12,5.00639,7.55998,139.405,1.18288e-6,0.0888522,2.74756,16.0933,0.228498,-72.8212,5.07271,1.1766
DTXSID0024553,123-77-3,Azodicarbonamide,uc,8.03882e-13,2.37772,6.11936,257.099,1.82322e-9,0.119392,7.83942,39.1149,-1.69787,157.857,1.89416e-10,0.0560135
DTXSID0024896,2008-39-1,"2,4-D dimethylamine salt",uc,8.50675e-12,3.33894,3.54877,300.498,2.95974e-9,0.214166,8.64937,45.9586,1.37128,86.0041,2.88557e-7,0.00684596
DTXSID0024921,1761-71-3,"4,4'-Diaminodicyclohexylmethane",uc,1.21583e-11,7.42014,44.0751,319.928,6.8795e-7,0.508964,8.15549,144.598,3.11506,15.0284,0.00115787,4.69083e-4
DTXSID0025072,96-26-4,Dihydroxyacetone,uc,1.63993e-12,4.19671,5.43152,208.699,8.92977e-9,0.0844451,6.72122,10.1804,-0.720713,40.9342,0.0809846,3.22296
DTXSID0025101,99-07-0,3-Dimethylaminophenol,uc,8.41439e-11,5.45183,3.73703,266.515,2.69369e-7,0.0875029,7.70008,84.4708,1.5613,85.8556,0.00398454,0.0254804
DTXSID0025363,79-14-1,Glycolic acid,uc,1.08146e-12,4.21935,4.71857,205.865,5.37489e-9,0.0960987,6.52214,7.3753,-1.11093,79.4131,0.0200049,3.04018
DTXSID0025523,118-71-8,Maltol,uc,3.97643e-11,1.62736,3.54624,202.061,4.08387e-7,0.150766,4.53095,90.3492,0.0882703,161.474,0.13152,0.262327
DTXSID0025527,71-58-9,Medroxyprogesterone acetate,bc,6.542e-11,46.56,95.9549,392.1,3.44058e-8,14.203,11.7188,98364.3,3.33139,206.037,1.17739e-7,9.85698e-6
DTXSID0025816,144-62-7,Oxalic acid,uc,6.39621e-13,4.92862,8.38932,318.014,1.43456e-10,0.173232,6.48411,8.39649,-0.85548,141.797,2.34582e-4,1.90891
DTXSID0025818,126-27-2,Oxethazaine,uc,4.46041e-11,153.643,5.17248,385.943,1.00917e-11,2.47763,10.2077,456.099,4.22006,104.021,1.90077e-9,1.19476e-4
DTXSID0025949,143-18-0,Potassium oleate,uc,4.94406e-11,93.3063,5.3554,359.986,6.05302e-8,0.910033,10.6121,2355.33,0.927166,174.229,1.39009e-6,4.34358e-8
DTXSID0026098,117-18-0,"2,3,5,6-Tetrachloronitrobenzene",uc,8.96801e-13,366.915,5.95506,303.988,5.30417e-5,3.04383,6.74851,11220.4,4.37252,99.3506,0.00179717,7.00864e-6
DTXSID0026175,1025-15-6,Triallyl isocyanurate,uc,9.70044e-11,2.43467,3.65342,303.383,7.3144e-6,0.380171,10.4607,98.0569,0.390126,20.6189,1.13004e-7,0.0529554
DTXSID0026252,101-02-0,Triphenyl phosphite,uc,5.27731e-11,488.615,21.7705,360.073,3.88021e-6,1.77219,10.7478,30865.5,4.0763,25.1068,3.04253e-6,3.53368e-6
