"DTXSID","true_cas","true_chemname","status","cluster","Active_ingredient_in_products","Inert_ingredient_in_products","Labeled_for_nonfood_use","Pesticides","Air_near_source","Artificial_liquids","Arts_and_crafts_or_office_supplies","Chemicals_that_emit_or_offgas","Children_products_and_toys","Electronics","General_consumer_product","Household_care_and_cleaning_products","Personal_care","Vehicles","Bottled_and_finished_water_for_consumption","Product_manufacturing","Crops_and_animal_feed","Food","Human_food_from_animals","Food_additive","Food_supplement","Furniture","Home_maintenance_.and_building_materials","Groundwater","Surface_water","Home_outdoor_cleaning","Occupational_products","Petrochemicals","Pharmaceutical","Soil","Wastewater","Substances_in_contact_with_food"
"DTXSID001010977","61791-24-0","Amines, soya alkyl, ethoxylated","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID001011137","9010-89-3","Hexanedioic acid, polymer with 2,2'-oxybis[ethanol]","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DTXSID001011149","28514-75-2","1,3-Benzenediol, 4,?-bis[2-(dimethylphenyl)diazenyl]-","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID001011420","7379-28-4","Glycine, N,N'-1,2-ethanediylbis[N-(carboxymethyl)-, sodium salt (1:?)","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DTXSID001012016","31394-71-5","Poly[oxy(methyl-1,2-ethanediyl)], .alpha.-[(9Z)-(1-oxo-9-octadecen-1-yl)]-.omega.-hydroxy-","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID001012054","67922-57-0","Poly(oxy-1,2-ethanediyl), .alpha.-(nonylphenyl)-.omega.-hydroxy-, phosphate, magnesium salt","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID00101243","68891-13-4","Oxirane, 2-methyl-, polymer with oxirane, mono-C10-16-alkyl ethers, phosphates, potassium salts","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID001012547","68132-96-7","Poly[oxy(methyl-1,2-ethanediyl)], .alpha.-[2-(diethylmethylammonio)ethyl]-.omega.-hydroxy-, chloride (1:1)","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID001012759","39444-87-6","Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-, polymer with 1,1'-methylenebis[4-isocyanatocyclohexane]","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID001013440","111636-30-7","1H-Pyrazole-3-carboxylic acid, 4,5-dihydro-5-oxo-1-(4-sulfophenyl)-4-[2-(4-sulfophenyl)diazenyl]-, sodium salt, compd. with 2-aminoethanol (1:?:?)","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID001015046","68081-97-0","Sulfuric acid, mono-C10-16-alkyl esters, magnesium salts","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID001015096","84604-14-8","Rosmarinus officinalis leaf extract","uc",1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID001018757","27636-82-4","2,?4-?Imidazolidinedione, (hydroxymethyl)?-?5,?5-?dimethyl-","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DTXSID00102553","68988-56-7","Silicic acid, sodium salt, reaction products with chlorotrimethylsilane and iso-Pr alc.","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID00102775","69011-04-7","Phosphoric acid, butyl ester, manganese(2+) salt","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID00103262","70131-70-3","Soybean oil, polymer with benzoic acid, pentaerythritol, phthalic anhydride, TDI and trimethylolpropane","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID00104178","71927-89-4","Disodium 2(or 5)-butyl-5(or 2)-[[4-[(4-butylsulphonatophenyl)amino]-9,10-dihydro-5,8-dihydroxy-9,10-dioxo-1-anthryl]amino]benzenesulphonate","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID00104496","72749-59-8","Quaternary ammonium compounds, tri-C6-12-alkylmethyl, chlorides","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID00104577","72906-11-7","Sulfuric acid, mono-C9-13-alkyl esters, sodium salts","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID00104774","73296-90-9","Sulfuric acid, mono-C12-16-alkyl esters, potassium salts","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID00105261","85536-14-7","Benzenesulfonic acid, 4-C10-13-sec-alkyl derivs.","uc",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"DTXSID00105862","105859-97-0","Lignin, alkali, reaction products with disodium sulfite and formaldehyde","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID00106278","127646-44-0","Naphthalenesulfonic acid, iso-Pr derivs., sodium salts","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID00106334","130353-60-5","2-Propenenitrile, polymer with diethenylbenzene, ethenylethylbenzene and 1,7-octadiene, hydrolyzed","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DTXSID00107785","8029-31-0","Beer","uc",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID00107801","64365-06-6","Alkanes, iso-","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID00107806","71819-51-7","C.I. Solvent Red 164","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID00107821","113213-81-3","Formaldehyde, polymer with methyloxirane, oxirane and (1,1,3,3-tetramethylbutyl)phenol, graft","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID00107826","122436-67-3","Benzenesulfonic acid, 4-amino-, polymer with formaldehyde and 3-methylphenol","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID00109123","15974-07-9","Phosphoric acid, calcium zinc salt (2:1:2)","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID00109168","84775-78-0","Ascophyllum nodosum, ext.","uc",1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID00109183","132175-04-3","Hypermer A 60","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID00110077","69011-36-5","Polyoxyethylene trimethyldecyl alcohol","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"DTXSID00199589","51650-46-5","Magnesium p-toluenesulphonate","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0020078","12125-02-9","Ammonium chloride","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"DTXSID0020105","134-03-2","Sodium L-ascorbate","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"DTXSID0020151","140-11-4","Benzyl acetate","nbc",1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0020232","58-08-2","Caffeine","uc",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0
"DTXSID0020234","62-54-4","Calcium acetate","uc",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"DTXSID0020236","814-80-2","Calcium lactate","uc",1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0020315","76-06-2","Chloropicrin","bc",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0020440","120-36-5","Dichlorprop","nbc",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0020606","103-23-1","Bis(2-ethylhexyl)hexanedioate","nbc",1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DTXSID0020654","105-87-3","Geranyl acetate","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0020656","77-06-5","Gibberellic acid","uc",1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0020737","120-72-9","Indole","uc",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"DTXSID0020789","7791-18-6","Magnesium chloride hexahydrate","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0020941","7632-00-0","Sodium nitrite","nbc",1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"DTXSID0021175","9005-65-6","Polysorbate 80","nbc",1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"DTXSID0021177","298-14-6","Potassium bicarbonate","uc",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0021206","57-55-6","1,2-Propylene glycol","uc",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"DTXSID0021381","71-55-6","1,1,1-Trichloroethane","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DTXSID0021385","133-07-3","Folpet","nbc",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0021414","78-42-2","Tris(2-ethylhexyl) phosphate","nbc",1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DTXSID0021759","78-83-1","2-Methyl-1-propanol","uc",1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"DTXSID0021834","100-02-7","4-Nitrophenol","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0021917","110-54-3","n-Hexane","uc",1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"DTXSID0021961","119-61-9","Benzophenone","bc",1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"DTXSID0021969","121-33-5","4-Hydroxy-3-methoxybenzaldehyde","uc",1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"DTXSID0022010","143-28-2","cis-Oleyl alcohol","uc",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0022519","59-30-3","Folic acid","uc",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"DTXSID0023296","61-73-4","Methylene blue","uc",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"DTXSID0023745","58-86-6","D-Xylose","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0024050","75-37-6","1,1-Difluoroethane","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DTXSID0024395","108-24-7","Acetic anhydride","uc",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0024553","123-77-3","Azodicarbonamide","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0024719","13983-17-0","Wollastonite","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0024842","68603-42-9","Coconut oil acid/Diethanolamine condensate (2:1)","uc",1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0024848","8001-29-4","Cottonseed oil","uc",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DTXSID0025101","99-07-0","3-Dimethylaminophenol","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0025234","17372-87-1","Eosin","uc",1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"DTXSID0025363","79-14-1","Glycolic acid","uc",1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
"DTXSID0025523","118-71-8","Maltol","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0025949","143-18-0","Potassium oleate","uc",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0026171","29385-43-1","Tolyltriazole","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"DTXSID0026252","101-02-0","Triphenyl phosphite","uc",1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DTXSID0026339","59-02-9","alpha-Vitamin E","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0026549","90-80-2","Gluconolactone","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0026701","104-15-4","4-Methylbenzenesulfonic acid","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DTXSID0026838","110-27-0","Isopropyl tetradecanoate","uc",1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0026915","112-42-5","1-Undecanol","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0026967","120-55-8","Diethylene glycol dibenzoate","uc",1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DTXSID0027064","136-52-7","Hexanoic acid, 2-ethyl-, cobalt(2+) salt","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0027066","137-16-6","Sodium [dodecanoyl(methyl)amino]acetate","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DTXSID0027222","586-62-9","Terpinolene","uc",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0027278","637-12-7","Aluminum stearate","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0027309","763-69-9","Ethyl 3-ethoxypropionate","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0027351","1002-62-6","Sodium decanoate","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0027353","1002-89-7","Ammonium stearate","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID00274022","2211-99-6","Benzenesulfonic acid, 4-(1-methylundecyl)-, sodium salt","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0027640","6915-15-7","Malic acid","uc",1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0027642","7023-61-2","C.I. Pigment Red 48, calcium salt (1:1)","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0027644","7173-62-8","N-Oleyl-1,3-propanediamine","uc",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DTXSID0027696","8030-12-4","Tallow, hydrogenated","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0027698","8030-78-2","Quaternary ammonium compounds, trimethyltallow alkyl, chlorides","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0027775","15827-60-8","Phosphonic acid, [[(phosphonomethyl)imino]bis[2,1-ethanediylnitrilobis(methylene)]]tetrakis-","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0027802","19224-26-1","Propylene glycol dibenzoate","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0027852","25168-05-2","Chlorotoluene","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0027856","25265-71-8","Dipropylene glycol","nbc",1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DTXSID0027933","27554-26-3","Diisooctyl phthalate","uc",1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DTXSID0027939","28188-24-1","Pentaerythritol tristearate","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0027983","34590-94-8","Dipropylene glycol monomethyl ether","uc",1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"DTXSID0028034","53980-88-4","5(6)-Carboxy-4-hexyl-2-cyclohexene-1-octanoic acid","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0028038","55406-53-6","3-Iodo-2-propynyl-N-butylcarbamate","nbc",1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DTXSID0028080","61789-77-3","Quaternary ammonium compounds, dicoco alkyldimethyl, chlorides","uc",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0028084","61789-86-4","Sulfonic acids, petroleum, calcium salts","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0028086","61789-97-7","Tallow","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0028111","61791-47-7","Ethanol, 2,2'-iminobis-, N-coco alkyl derivs., N-oxides","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0028115","63231-60-7","Hydrocarbon waxes, microcrystalline","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0028246","64742-89-8","Solvent naphtha, petroleum, light aliph.","uc",1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTXSID0028294","65997-06-0","Rosin, hydrogenated","uc",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DTXSID0028298","66071-94-1","Corn, steep liquor","uc",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
