INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
DTXSID5041691,DSSTox_Substance_Id,DTXSID5041691,Butam,1.38493e-11,28.2784,5.44902,294.537,2.82249e-08,0.106305,8.08881,239.443,3.00082,18.068,0.0006703,0.00337684
DTXSID5041772,DSSTox_Substance_Id,DTXSID5041772,Chlorfluazuron,1.64795e-11,103.223,3.5461,273.516,1.80071e-12,0.400564,9.65987,143842.0,5.7994,181.831,3.57884e-11,2.94982e-08
DTXSID5041778,DSSTox_Substance_Id,DTXSID5041778,Chloropropylate,1.37175e-11,221.58,4.90074,349.093,4.71493e-10,1.67916,10.969,941.593,4.87378,72.946,1.81298e-07,2.95395e-05
DTXSID5041851,DSSTox_Substance_Id,DTXSID5041851,Dichlofluanid,1.61161e-11,4.5615,7.14132,335.865,1.68863e-07,0.162236,7.44486,1132.29,3.69886,105.93,1.13421e-07,3.92075e-06
DTXSID5041859,DSSTox_Substance_Id,DTXSID5041859,Diclofop,1.37027e-11,3.57657,3.54299,314.41,4.4837e-10,1.30512,12.052,7868.52,4.58019,119.983,3.39845e-08,0.364584
DTXSID5041982,DSSTox_Substance_Id,DTXSID5041982,Fluorofolpet,6.39658e-12,69.4899,5.50096,296.878,2.41068e-07,0.786977,8.95493,456.52,1.73826,124.256,9.46493e-08,5.53558e-05
DTXSID5042037,DSSTox_Substance_Id,DTXSID5042037,Heptenophos,1.57268e-10,1.28007,3.67986,268.002,1.3488e-09,1.03413,7.79182,265.77,2.31845,-7.51078,0.0012652,0.00932248
DTXSID5042297,DSSTox_Substance_Id,DTXSID5042297,Pirimiphos-ethyl,1.7365e-11,15.5698,4.73586,335.057,1.14757e-06,2.05252,11.5698,302.117,4.8491,15.0004,0.000284713,5.7935e-05
DTXSID5042374,DSSTox_Substance_Id,DTXSID5042374,Scilliroside,1.05748e-10,5.49256,153.361,377.597,1.39098e-11,0.2295,9.54772,21353.0,0.197166,169.061,6.20585e-11,0.00150289
DTXSID50432019,DSSTox_Substance_Id,DTXSID50432019,"N-Cyclohexyl-1,1-dioxo-1H-1-benzothiophene-2-carboxamide",2.40968e-11,17.404,5.07342,367.909,1.0333e-10,1.45533,10.9081,686.105,2.06787,190.275,5.25944e-08,0.000122736
DTXSID5043974,DSSTox_Substance_Id,DTXSID5043974,Ammonium,-,-,-,-,-,-,-,-,-,-,-,-
DTXSID5043976,DSSTox_Substance_Id,DTXSID5043976,Fosamine,1.85249e-11,4.73947,4.1322,233.463,1.60888e-09,0.1021,8.06549,38.4289,-1.43692,175.883,2.51001e-08,9.75014
DTXSID5043978,DSSTox_Substance_Id,DTXSID5043978,Clofencet,2.74835e-11,2.88757,3.34446,320.121,1.33267e-08,0.77074,9.85348,343.843,-2.18451,268.82,3.8643e-08,2.46475
DTXSID5044366,DSSTox_Substance_Id,DTXSID5044366,Dodecyltrimethylammonium bromide,1.92918e-11,1448.22,4.85301,232.473,0.00127545,26.3095,6.90391,5196.27,-0.279117,222.785,0.00649942,1.2278e-07
DTXSID5045623,DSSTox_Substance_Id,DTXSID5045623,Flumequine,1.85108e-11,3.37997,7.55816,322.324,2.04386e-09,0.31775,10.6246,976.445,1.60409,200.067,4.03386e-09,0.00822356
DTXSID5045881,DSSTox_Substance_Id,DTXSID5045881,Alexidine dihydrochloride,3.02523e-11,36.3018,7.59644,288.904,1.07035e-09,0.333135,9.5954,20695.1,3.05354,141.879,3.82538e-11,0.0262053
DTXSID5047116,DSSTox_Substance_Id,DTXSID5047116,(-)-Isopulegol,8.2864e-11,9.09855,2.55778,217.058,3.32046e-06,0.108514,6.85815,109.59,3.12245,77.2348,0.0270508,0.00659216
DTXSID5047532,DSSTox_Substance_Id,DTXSID5047532,2-[(Hydroxymethyl)amino]ethanol,2.61042e-11,3.62701,4.47114,256.271,1.4365e-08,0.0836056,6.41027,6.19545,-1.54371,203.007,0.000258533,8.96996
DTXSID5048051,DSSTox_Substance_Id,DTXSID5048051,Bethoxazin,1.69928e-11,8.76,52.4081,355.667,1.13874e-07,0.140645,9.43025,1688.52,2.9407,98.2877,2.15375e-07,1.25663e-05
DTXSID5049441,DSSTox_Substance_Id,DTXSID5049441,2-Methoxy-1-propanol,1.91752e-11,1.63009,4.12535,129.932,7.03413e-07,0.0755391,4.08117,10.522,-0.313305,-29.2813,6.29883,10.6544
DTXSID5049780,DSSTox_Substance_Id,DTXSID5049780,Sodium metaborate tetrahydrate,-,-,-,-,-,-,-,-,-,-,-,-
DTXSID5049782,DSSTox_Substance_Id,DTXSID5049782,sodium dihydrogen borate,-,-,-,-,-,-,-,-,-,-,-,-
DTXSID5051234,DSSTox_Substance_Id,DTXSID5051234,"3,3'-Methylenebis(5-methyloxazolidine)",3.66756e-11,2.23205,3.65472,252.162,8.60314e-07,0.994498,5.70772,116.757,-0.0264552,69.3792,0.00614816,1.13384
DTXSID5052250,DSSTox_Substance_Id,DTXSID5052250,Isobornyl acrylate,3.20725e-11,104.222,3.55576,239.487,0.000190745,0.0940742,5.77099,1609.94,4.17457,96.4552,0.0471948,0.000370056
DTXSID5052468,DSSTox_Substance_Id,DTXSID5052468,Flurazole,1.36859e-11,39.379,3.54008,329.599,2.24676e-08,0.816658,8.41265,888.642,2.51292,52.1506,2.93762e-07,1.5602e-06
DTXSID5052709,DSSTox_Substance_Id,DTXSID5052709,trans-Nonachlor,6.99067e-13,11397.4,230.688,333.799,7.45727e-05,90.3176,10.1783,30275.5,6.19852,102.762,3.32802e-08,2.16169e-07
DTXSID5057595,DSSTox_Substance_Id,DTXSID5057595,Vegetable oils,-,-,-,-,-,-,-,-,-,-,-,-
DTXSID5057961,DSSTox_Substance_Id,DTXSID5057961,Pyriftalid,1.64132e-11,30.8105,3.35793,357.961,1.97749e-08,1.49264,10.8293,276.204,2.41032,131.463,1.23184e-07,5.61842e-06
DTXSID5057965,DSSTox_Substance_Id,DTXSID5057965,Fluquinconazole,1.37634e-11,83.2024,3.35679,328.058,2.06819e-11,0.949324,11.7056,716.036,3.23757,191.954,4.83236e-11,2.87158e-06
DTXSID5057969,DSSTox_Substance_Id,DTXSID5057969,Profoxydim,8.35487e-11,298.838,89.0137,428.977,5.22892e-08,6.83182,11.6822,151051.0,5.26776,195.871,3.96256e-09,1.14888e-05
DTXSID5058012,DSSTox_Substance_Id,DTXSID5058012,Prothiocarb,2.7465e-11,3.085,3.35255,281.676,1.69147e-09,0.229413,8.7577,272.38,0.529252,103.596,0.000466878,0.0658419
DTXSID5058062,DSSTox_Substance_Id,DTXSID5058062,Butocarboxim,1.09773e-11,6.14673,3.53564,267.903,2.2858e-08,0.109447,7.71437,38.0194,1.09784,25.7422,7.92964e-05,0.182291
DTXSID5058068,DSSTox_Substance_Id,DTXSID5058068,Butamiphos,1.38384e-11,288.286,3.54549,378.064,2.5891e-09,0.631685,11.4668,553.006,4.61637,79.8212,0.000625749,1.80427e-05
DTXSID5058141,DSSTox_Substance_Id,DTXSID5058141,Dimepiperate,1.51857e-11,38.7877,8.02345,293.179,1.61273e-08,0.176906,8.83555,432.239,4.01983,39.2326,4.00956e-06,7.54829e-05
DTXSID5058145,DSSTox_Substance_Id,DTXSID5058145,Fenothiocarb,1.76837e-11,25.9019,3.35287,303.913,6.79028e-09,1.00517,8.7974,2861.12,3.27717,40.5278,1.25755e-06,0.000117327
DTXSID5058149,DSSTox_Substance_Id,DTXSID5058149,Anilofos,2.4067e-11,260.533,94.8157,414.76,5.68731e-07,1.46446,11.6998,693.303,3.80524,50.9583,1.54755e-07,3.62343e-05
DTXSID5058195,DSSTox_Substance_Id,DTXSID5058195,Alanycarb,3.33106e-11,74.1859,4.74673,348.239,1.23983e-08,5.95444,10.6575,615.706,3.42884,47.0604,3.50391e-08,4.98462e-05
DTXSID5058197,DSSTox_Substance_Id,DTXSID5058197,Chlozolinate,1.06227e-11,29.7401,4.66249,348.422,2.66712e-09,0.904238,11.5622,260.054,3.14944,112.552,3.58575e-08,3.81937e-05
DTXSID5058220,DSSTox_Substance_Id,DTXSID5058220,Cinosulfuron,2.76132e-11,2.57212,4.62074,336.752,1.18287e-11,0.134388,9.23426,70.5693,2.03777,130.048,4.20202e-10,0.000932139
DTXSID5058224,DSSTox_Substance_Id,DTXSID5058224,Fenoxaprop,1.71237e-11,3.60713,3.54559,321.625,3.19851e-09,1.76593,10.6423,1354.88,3.56424,158.011,1.34052e-06,0.0118534
DTXSID5058228,DSSTox_Substance_Id,DTXSID5058228,Flurtamone,2.75892e-11,45.4897,3.55034,362.014,2.828e-09,0.216813,8.62631,985.386,3.52093,114.83,8.99209e-09,3.23615e-05
DTXSID5058353,DSSTox_Substance_Id,DTXSID5058353,"2,4-D, alkylamine (C14) salt",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID50700624,DSSTox_Substance_Id,DTXSID50700624,"Tetradeca-3,8,11-trienyl acetate, (3E,8Z,11Z)-",1.18263e-10,238.543,5.16909,305.858,2.4527e-07,2.61202,7.79297,1919.31,5.44585,-27.5758,3.40684e-05,2.75931e-06
DTXSID50885627,DSSTox_Substance_Id,DTXSID50885627,"(4S)-2-Methyl-6-methylene-2,7-octadien-4-ol",1.79323e-10,7.72735,3.33233,221.373,5.50515e-07,0.0798982,6.62091,131.56,2.98459,-35.2103,0.0564538,0.0116421
DTXSID50893848,DSSTox_Substance_Id,DTXSID50893848,Isofetamid,2.03759e-11,53.1453,2.54378,375.946,1.35389e-09,0.55385,10.4146,2358.54,3.71068,106.506,1.68385e-08,5.97772e-06
DTXSID50894799,DSSTox_Substance_Id,DTXSID50894799,Guazatine acetates (1:x),-,-,-,-,-,-,-,-,-,-,-,-
DTXSID50894976,DSSTox_Substance_Id,DTXSID50894976,(Z)-9-Tetradecenyl acetate,5.16363e-11,833.809,5.71658,284.556,7.32287e-07,1.81299,8.41366,1819.76,6.37444,-21.3529,0.000106512,4.91707e-07
DTXSID50897321,DSSTox_Substance_Id,DTXSID50897321,Oil of rue,-,-,-,-,-,-,-,-,-,-,-,-
DTXSID5098006,DSSTox_Substance_Id,DTXSID5098006,"Quaternary ammonium compounds, di-C6-12-alkyldimethyl, chlorides",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID5098266,DSSTox_Substance_Id,DTXSID5098266,"Quaternary ammonium compounds, benzyl-C8-16-alkyldimethyl, chlorides",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID601016585,DSSTox_Substance_Id,DTXSID601016585,Triapenthenol,3.23214e-11,16.3959,3.64454,332.199,1.44713e-09,2.1178,9.81886,574.516,3.07918,137.243,8.60836e-08,250.628
DTXSID601016747,DSSTox_Substance_Id,DTXSID601016747,"1,2-Benzisothiazol-3(2H)-One, Sodium Salt",4.31201e-11,4.47433,3.74206,311.909,1.64844e-08,0.100701,8.36234,73.142,-2.18847,153.033,1.42925e-05,3.36109e-06
DTXSID60108995,DSSTox_Substance_Id,DTXSID60108995,"Quaternary ammonium compounds, benzyl-C12-14-alkyldimethyl, chlorides",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID60155848,DSSTox_Substance_Id,DTXSID60155848,Phthalimidoperoxycaproic acid,1.3474e-11,3.13295,3.54869,346.483,2.3597e-09,1.72958,10.8033,403.482,2.02401,111.738,7.81374e-10,0.00730913
DTXSID60193689,DSSTox_Substance_Id,DTXSID60193689,Methyl (E)-non-6-enoate,8.37794e-11,66.819,4.6508,207.778,0.000249145,0.246763,5.05873,376.252,3.54891,-53.9975,0.113862,0.000566169
DTXSID60194459,DSSTox_Substance_Id,DTXSID60194459,"(R)-N,N-Diethyl-2-(1-naphthyloxy)propionamide",1.70351e-11,105.64,4.2435,335.135,7.30897e-09,0.142031,9.2089,1755.79,3.82139,76.9064,1.43994e-06,0.000539987
DTXSID6020066,DSSTox_Substance_Id,DTXSID6020066,2-Amino-5-nitrothiazole,1.65273e-11,4.88241,4.62947,287.945,9.66044e-08,0.260882,7.02324,8.91305,0.829417,181.632,2.58454e-06,0.0155582
DTXSID6020303,DSSTox_Substance_Id,DTXSID6020303,Chlormequat chloride,1.41976e-11,17.2862,8.55687,80.5171,0.00266508,0.997162,3.19253,1452.15,-3.79811,174.906,8.10341e-08,5.56351
DTXSID6020438,DSSTox_Substance_Id,DTXSID6020438,"1,2-Dichloroethane",2.48082e-13,6.67202,10.0389,83.3885,0.00118664,0.140341,2.79258,33.1086,1.47638,-35.9934,79.244,0.0865463
DTXSID6020561,DSSTox_Substance_Id,DTXSID6020561,Endrin,7.01837e-13,8099.26,333.114,329.999,8.23022e-06,44.1758,8.56091,12041.2,5.11788,201.703,5.88443e-06,5.42118e-07
DTXSID6020690,DSSTox_Substance_Id,DTXSID6020690,Hexachlorophene,7.86862e-12,118.254,45.2972,478.941,3.62916e-11,2.01035,9.3527,539297.0,7.53844,166.506,5.57474e-09,0.0003451
DTXSID6021163,DSSTox_Substance_Id,DTXSID6021163,Natamycin,3.07416e-11,4.15141,86.8932,377.139,1.98035e-11,0.230005,9.56829,2323.92,1.12173,236.107,1.26162e-09,0.00285893
DTXSID6021248,DSSTox_Substance_Id,DTXSID6021248,Rotenone,1.23629e-10,25.7136,3.36189,425.934,1.81047e-09,0.257335,11.695,10020.0,4.09762,176.003,1.67365e-10,1.29423e-05
DTXSID60213194,DSSTox_Substance_Id,DTXSID60213194,4-Chloro-3-methyl-2(3H)-benzothiazolone,7.4427e-11,8.70509,2.55144,296.512,5.70184e-06,0.234695,7.56729,126.3,1.87316,61.059,7.7263e-06,0.00172043
DTXSID6021408,DSSTox_Substance_Id,DTXSID6021408,Triphenyltin acetate,-,-,-,-,-,-,-,-,-,-,-,-
DTXSID6021953,DSSTox_Substance_Id,DTXSID6021953,Fensulfothion,1.9845e-11,2.58786,4.80119,366.488,4.29886e-07,0.502008,10.4407,331.773,2.23036,59.7215,4.98583e-05,0.00549588
DTXSID6022345,DSSTox_Substance_Id,DTXSID6022345,"o,p'-DDT",7.03591e-13,14932.3,11.6876,371.487,1.43448e-05,51.3442,9.56752,126385.0,6.92326,104.428,1.34353e-06,2.13546e-07
DTXSID6023600,DSSTox_Substance_Id,DTXSID6023600,Strychnine,1.44816e-10,6.15696,106.43,361.432,6.791e-09,2.33592,11.6812,46815.5,1.92922,286.794,6.67925e-10,0.000475208
DTXSID6023868,DSSTox_Substance_Id,DTXSID6023868,Hydramethylnon,1.92666e-11,241.823,3.54943,345.325,5.89899e-08,0.525682,9.31842,722443.0,2.31318,187.505,2.02366e-08,1.20622e-08
DTXSID60239495,DSSTox_Substance_Id,DTXSID60239495,"4-((4,5-Dihydro-3-methoxy-4-methyl-5-oxo-1H-1,2,4-triazol-1-yl)carbonylsulfamoyl)-5-methylthiophene-3-carboxylic acid",1.66006e-11,4.37866,4.88313,244.141,1.50285e-09,0.63402,9.39745,39.4415,0.24879,194.566,6.51012e-09,0.000942361
DTXSID60239637,DSSTox_Substance_Id,DTXSID60239637,N-(3-(Dodecylamino)propyl)glycine hydrochloride,1.51371e-11,31.028,5.57594,311.763,4.0192e-09,0.241146,9.23311,2854.93,0.871568,107.346,1.29743e-07,0.00531978
DTXSID6023997,DSSTox_Substance_Id,DTXSID6023997,alpha-Cyhalothrin,3.39547e-11,133.562,3.54485,422.641,1.12442e-08,9.66227,11.6907,181452.0,6.7988,49.3639,7.49911e-09,2.20272e-09
DTXSID6023999,DSSTox_Substance_Id,DTXSID6023999,Cyromazine,3.39652e-11,1.65227,4.06498,326.419,9.40711e-09,0.171741,8.53336,199.314,0.803329,224.948,3.35236e-09,0.0774962
DTXSID6024048,DSSTox_Substance_Id,DTXSID6024048,Difenzoquat metilsulfate,1.93439e-11,565.107,13.7793,335.84,3.12648e-05,1.91943,7.87682,5852.57,0.56318,164.155,0.000102317,2.04751
DTXSID6024177,DSSTox_Substance_Id,DTXSID6024177,Methamidophos,3.22169e-11,2.42868,4.85615,238.724,2.5538e-07,0.144161,6.35401,5.00138,-0.798736,46.1028,3.54249e-05,4.12249
DTXSID6024200,DSSTox_Substance_Id,DTXSID6024200,m-Cresol,6.39288e-11,15.2196,3.57508,202.036,8.5716e-07,0.230637,5.04869,119.813,1.95957,12.0496,0.109798,0.207966
DTXSID6025513,DSSTox_Substance_Id,DTXSID6025513,Malachite green oxalate,6.40774e-11,308.085,4.0403,354.56,2.02784e-06,3.08056,10.58,3964.45,0.503811,166.802,5.23832e-07,7.76916e-06
DTXSID6025567,DSSTox_Substance_Id,DTXSID6025567,Methyl 2-aminobenzoate,1.03955e-11,3.74609,3.53716,256.079,1.0914e-08,0.128067,7.71364,50.1823,1.87744,24.8241,0.0271174,0.0189233
DTXSID6026824,DSSTox_Substance_Id,DTXSID6026824,1-Butanethiol,5.06238e-11,7.03536,4.76369,98.3744,0.00454176,0.367666,2.81356,28.083,2.27861,-116.102,45.7022,0.00663091
DTXSID6027050,DSSTox_Substance_Id,DTXSID6027050,Sodium dimethyldithiocarbamate,9.84218e-12,6.68783,23.6944,177.015,1.0326e-08,0.308695,3.36204,59.2181,-0.0542634,74.0772,0.189236,0.000313688
DTXSID6027131,DSSTox_Substance_Id,DTXSID6027131,"1H-1,2,4-Triazole",1.61533e-12,1.46424,4.75529,198.221,1.31948e-07,0.185675,3.70923,8.29609,-0.579128,54.1425,0.728039,1.20771
DTXSID60273935,DSSTox_Substance_Id,DTXSID60273935,Quizalofop,1.06409e-11,3.61651,3.54507,372.433,4.38901e-09,0.478746,10.4983,736.582,3.41748,216.151,1.25944e-07,8.82751e-07
DTXSID6028109,DSSTox_Substance_Id,DTXSID6028109,"1H-Imidazole-1-ethanol, 4,5-dihydro-, 2-nortall-oil alkyl derivs.",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID6029381,DSSTox_Substance_Id,DTXSID6029381,"Quaternary ammonium compounds, benzylcoco alkyldimethyl, chlorides",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID6029383,DSSTox_Substance_Id,DTXSID6029383,"Amines, N-coco alkyltrimethylenedi-",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID6029672,DSSTox_Substance_Id,DTXSID6029672,Sulfur dioxide,-,-,-,-,-,-,-,-,-,-,-,-
DTXSID6031623,DSSTox_Substance_Id,DTXSID6031623,Methyl soyate,-,-,-,-,-,-,-,-,-,-,-,-
DTXSID6032352,DSSTox_Substance_Id,DTXSID6032352,Chlorpyrifos-methyl,2.76025e-11,2298.59,5.6735,347.68,5.914e-07,5.97779,9.57353,3311.53,4.30989,42.9978,4.20617e-05,1.29183e-05
DTXSID6032354,DSSTox_Substance_Id,DTXSID6032354,Clodinafop-propargyl,2.7048e-11,460.466,4.87401,371.079,7.6953e-10,0.222884,9.61803,966.979,3.89928,59.604,2.4062e-08,1.14269e-05
DTXSID6032358,DSSTox_Substance_Id,DTXSID6032358,Cymoxanil,8.72043e-12,2.36481,4.64339,255.031,5.20777e-11,0.120559,8.18178,122.553,0.58787,160.536,1.12527e-06,0.00434023
DTXSID6032431,DSSTox_Substance_Id,DTXSID6032431,S-Metolachlor,1.96838e-11,54.8956,4.88029,282.035,9.00862e-09,0.179642,9.38799,288.006,3.13089,-49.1762,3.11485e-05,0.0018257
DTXSID6032437,DSSTox_Substance_Id,DTXSID6032437,Naptalam,9.27883e-12,45.7943,15.169,296.669,2.67997e-10,0.327203,9.42461,2185.62,3.07383,185.042,7.46452e-10,0.000682945
DTXSID6032514,DSSTox_Substance_Id,DTXSID6032514,"1,2-Benzenedicarboxaldehyde",4.09948e-11,3.30087,6.4207,246.007,5.35696e-07,0.144046,4.99476,45.1696,0.968712,76.5457,0.0519648,0.00405517
DTXSID6032518,DSSTox_Substance_Id,DTXSID6032518,"4,5-Dichloro-3H-1,2-dithiol-3-one",2.19547e-12,17.9855,4.48273,232.383,0.00122966,7.29082,6.07473,84.5125,2.72246,58.4959,89.6839,0.0179435
DTXSID6032641,DSSTox_Substance_Id,DTXSID6032641,Quinclorac,1.17197e-11,3.54807,3.10053,324.501,3.31582e-09,0.21341,9.82462,2564.64,2.77183,273.871,2.24324e-07,2.80819e-07
DTXSID6032649,DSSTox_Substance_Id,DTXSID6032649,Tetramethrin,1.46105e-10,8.81393,3.35399,339.127,9.76411e-06,1.52109,11.5741,1791.04,4.72729,69.0098,7.03012e-06,6.48624e-06
DTXSID6034265,DSSTox_Substance_Id,DTXSID6034265,Clopyralid-olamine,6.43701e-12,3.76572,3.54155,286.103,4.90538e-09,0.16897,8.38629,36.3208,1.45284,133.514,1.20863e-05,0.732186
DTXSID6034423,DSSTox_Substance_Id,DTXSID6034423,Disodium cyanodithioimidocarbonate,3.0855e-12,2.54586,5.15335,243.716,2.39368e-09,0.153735,3.02529,2.58359,-0.180858,177.117,0.0159259,0.00773361
DTXSID6034425,DSSTox_Substance_Id,DTXSID6034425,Tiocarbazil,1.54102e-11,311.452,2.70611,291.284,1.80274e-08,0.169789,9.8129,543.866,4.39815,53.6456,7.30964e-06,8.96734e-06
DTXSID6034475,DSSTox_Substance_Id,DTXSID6034475,Dicopper chloride trihydroxide,-,-,-,-,-,-,-,-,-,-,-,-
DTXSID6034477,DSSTox_Substance_Id,DTXSID6034477,Copper salts of fatty and rosin acids,-,-,-,-,-,-,-,-,-,-,-,-
DTXSID6034554,DSSTox_Substance_Id,DTXSID6034554,Diquat,4.33939e-11,5.75841,14.828,325.048,0.000122358,2.5026,7.37078,506.619,2.758,138.61,1.00741e-08,0.282318
DTXSID6034712,DSSTox_Substance_Id,DTXSID6034712,Mesosulfuron-methyl,1.78637e-11,3.2453,4.26547,254.085,1.38449e-11,0.326651,9.4359,44.2284,1.01427,173.343,2.73061e-10,0.000953585
DTXSID6034762,DSSTox_Substance_Id,DTXSID6034762,"1,3-Bis(4-nitrophenyl)urea 4,6-dimethylpyrimidin-2-ol (1:1)",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID6034849,DSSTox_Substance_Id,DTXSID6034849,Propamocarb hydrochloride,2.68346e-11,2.83071,4.29068,226.514,1.48351e-09,0.314162,8.37583,308.284,0.0280938,64.2581,0.000126083,4.60874
DTXSID6034899,DSSTox_Substance_Id,DTXSID6034899,"Sodium 5-chloro-2-(4-chloro-2-(3-(3,4-dichlorophenyl)ureido)phenoxy)benzenesulfonate",1.384e-11,74.0901,4.24311,274.463,9.95634e-11,0.33077,9.48308,62783.4,1.89185,222.996,9.98603e-10,3.95126e-06
DTXSID6034920,DSSTox_Substance_Id,DTXSID6034920,Sodium pyrithione,4.3755e-11,5.61191,2.66703,252.118,2.24556e-09,0.295222,5.05555,50.0745,-2.16443,102.345,0.00257008,1.29982
DTXSID6034928,DSSTox_Substance_Id,DTXSID6034928,Spirodiclofen,2.29746e-11,294.021,3.3619,389.59,1.27172e-08,1.29859,11.6984,17839.2,4.65223,105.572,1.57226e-08,1.21682e-07
