INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
DTXSID001015096,DSSTox_Substance_Id,DTXSID001015096,Rosmarinus officinalis leaf extract,-,-,-,-,-,-,-,-,-,-,-,-
DTXSID001018757,DSSTox_Substance_Id,DTXSID001018757,"2,​4-​Imidazolidinedione, (hydroxymethyl)​-​5,​5-​dimethyl-",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID00102553,DSSTox_Substance_Id,DTXSID00102553,"Silicic acid, sodium salt, reaction products with chlorotrimethylsilane and iso-Pr alc.",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID00102775,DSSTox_Substance_Id,DTXSID00102775,"Phosphoric acid, butyl ester, manganese(2+) salt",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID00103262,DSSTox_Substance_Id,DTXSID00103262,"Soybean oil, polymer with benzoic acid, pentaerythritol, phthalic anhydride, TDI and trimethylolpropane",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID00104178,DSSTox_Substance_Id,DTXSID00104178,"Disodium 2(or 5)-butyl-5(or 2)-[[4-[(4-butylsulphonatophenyl)amino]-9,10-dihydro-5,8-dihydroxy-9,10-dioxo-1-anthryl]amino]benzenesulphonate",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID00104496,DSSTox_Substance_Id,DTXSID00104496,"Quaternary ammonium compounds, tri-C6-12-alkylmethyl, chlorides",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID00104577,DSSTox_Substance_Id,DTXSID00104577,"Sulfuric acid, mono-C9-13-alkyl esters, sodium salts",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID00104774,DSSTox_Substance_Id,DTXSID00104774,"Sulfuric acid, mono-C12-16-alkyl esters, potassium salts",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID00105261,DSSTox_Substance_Id,DTXSID00105261,"Benzenesulfonic acid, 4-C10-13-sec-alkyl derivs.",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID00105862,DSSTox_Substance_Id,DTXSID00105862,"Lignin, alkali, reaction products with disodium sulfite and formaldehyde",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID00106278,DSSTox_Substance_Id,DTXSID00106278,"Naphthalenesulfonic acid, iso-Pr derivs., sodium salts",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID00106334,DSSTox_Substance_Id,DTXSID00106334,"2-Propenenitrile, polymer with diethenylbenzene, ethenylethylbenzene and 1,7-octadiene, hydrolyzed",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID00107785,DSSTox_Substance_Id,DTXSID00107785,Beer,-,-,-,-,-,-,-,-,-,-,-,-
DTXSID00107801,DSSTox_Substance_Id,DTXSID00107801,"Alkanes, iso-",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID00107806,DSSTox_Substance_Id,DTXSID00107806,C.I. Solvent Red 164,-,-,-,-,-,-,-,-,-,-,-,-
DTXSID00107821,DSSTox_Substance_Id,DTXSID00107821,"Formaldehyde, polymer with methyloxirane, oxirane and (1,1,3,3-tetramethylbutyl)phenol, graft",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID00107826,DSSTox_Substance_Id,DTXSID00107826,"Benzenesulfonic acid, 4-amino-, polymer with formaldehyde and 3-methylphenol",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID00109123,DSSTox_Substance_Id,DTXSID00109123,"Phosphoric acid, calcium zinc salt (2:1:2)",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID00109168,DSSTox_Substance_Id,DTXSID00109168,"Ascophyllum nodosum, ext.",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID00109183,DSSTox_Substance_Id,DTXSID00109183,Hypermer A 60,-,-,-,-,-,-,-,-,-,-,-,-
DTXSID00110077,DSSTox_Substance_Id,DTXSID00110077,Polyoxyethylene trimethyldecyl alcohol,-,-,-,-,-,-,-,-,-,-,-,-
DTXSID00199589,DSSTox_Substance_Id,DTXSID00199589,Magnesium p-toluenesulphonate,2.32353e-12,5.4017,4.97523,291.954,1.34127e-08,0.115677,7.71324,73.5089,-2.51853,79.0618,8.87098e-07,3.59185
DTXSID0020078,DSSTox_Substance_Id,DTXSID0020078,Ammonium chloride,-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0020105,DSSTox_Substance_Id,DTXSID0020105,Sodium L-ascorbate,8.13797e-12,2.05358,3.53988,274.055,8.44548e-10,0.0921521,8.12372,151.535,-2.16424,177.667,1.2512e-07,2.07263
DTXSID0020151,DSSTox_Substance_Id,DTXSID0020151,Benzyl acetate,1.13655e-11,6.32238,4.48246,213.17,3.97254e-07,0.13412,4.83138,72.6146,1.96276,-46.9733,0.174472,0.0204983
DTXSID0020232,DSSTox_Substance_Id,DTXSID0020232,Caffeine,1.01525e-11,1.87705,3.8183,286.293,1.55451e-06,0.119967,8.51986,62.3044,-0.0709947,237.711,2.06086e-06,0.111749
DTXSID0020234,DSSTox_Substance_Id,DTXSID0020234,Calcium acetate,7.40536e-13,4.34366,4.59912,117.958,1.00453e-07,0.102194,4.23032,1.00727,-1.61104,268.97,15.6073,13.4017
DTXSID0020236,DSSTox_Substance_Id,DTXSID0020236,Calcium lactate,1.63993e-12,4.19671,5.43152,208.699,8.92977e-09,0.0844451,6.72122,10.1804,-1.51452,234.432,0.0809846,3.22296
DTXSID0020315,DSSTox_Substance_Id,DTXSID0020315,Chloropicrin,4.96914e-15,19.1064,4.62777,112.163,0.00206106,2.61812,3.07711,61.6589,2.08833,-63.9305,24.0246,0.0180425
DTXSID0020440,DSSTox_Substance_Id,DTXSID0020440,Dichlorprop,1.16471e-11,3.54397,3.53597,298.485,3.01412e-09,0.144763,9.1961,169.177,2.82704,122.077,7.66774e-08,0.00196396
DTXSID0020606,DSSTox_Substance_Id,DTXSID0020606,Bis(2-ethylhexyl)hexanedioate,1.20555e-11,233.853,5.69219,416.901,4.33746e-07,1.66653,10.8342,15479.1,6.85125,-67.4374,8.51809e-07,2.10993e-06
DTXSID0020654,DSSTox_Substance_Id,DTXSID0020654,Geranyl acetate,1.64446e-10,18.9829,4.96146,238.317,6.79364e-05,0.270924,5.77618,470.456,4.04073,-53.0753,0.0330885,0.000282547
DTXSID0020656,DSSTox_Substance_Id,DTXSID0020656,Gibberellic acid,1.17654e-10,4.76259,149.305,387.795,1.93166e-11,0.296003,9.29628,39069.9,0.242195,233.988,7.25685e-10,0.0136008
DTXSID0020737,DSSTox_Substance_Id,DTXSID0020737,Indole,1.5362e-10,7.90322,4.54575,254.046,2.53949e-06,0.147792,7.46364,120.115,2.14105,52.8228,0.0122002,0.0301097
DTXSID0020789,DSSTox_Substance_Id,DTXSID0020789,Magnesium chloride hexahydrate,-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0020941,DSSTox_Substance_Id,DTXSID0020941,Sodium nitrite,-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0021175,DSSTox_Substance_Id,DTXSID0021175,Polysorbate 80,-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0021177,DSSTox_Substance_Id,DTXSID0021177,Potassium bicarbonate,2.50079e-14,4.92728,7.57763,299.147,3.7792e-09,0.142856,6.36654,3.85959,-0.991871,139.401,0.0105684,0.0170393
DTXSID0021206,DSSTox_Substance_Id,DTXSID0021206,"1,2-Propylene glycol",1.2016e-11,3.38004,4.268,187.669,6.05478e-08,0.0593024,6.73741,2.3048,-0.918877,-59.8063,0.127532,13.1545
DTXSID0021381,DSSTox_Substance_Id,DTXSID0021381,"1,1,1-Trichloroethane",9.64575e-15,5.03713,5.94324,74.1021,0.0169999,0.0410412,2.72292,88.9775,2.48961,-30.5694,122.759,0.0101923
DTXSID0021385,DSSTox_Substance_Id,DTXSID0021385,Folpet,6.41488e-12,49.7257,8.75993,319.278,1.19077e-07,0.98696,9.45726,1855.8,2.8482,150.663,1.57511e-07,2.72364e-06
DTXSID0021414,DSSTox_Substance_Id,DTXSID0021414,Tris(2-ethylhexyl) phosphate,1.74349e-11,50.1745,4.22722,411.783,2.42642e-06,0.513773,11.6938,12716.0,9.20331,-73.9686,8.28284e-08,2.4091e-06
DTXSID0021759,DSSTox_Substance_Id,DTXSID0021759,2-Methyl-1-propanol,1.16967e-11,4.04713,3.67057,107.701,9.7678e-06,0.0751601,3.89376,12.0246,0.761386,-107.885,10.452,1.11957
DTXSID0021834,DSSTox_Substance_Id,DTXSID0021834,4-Nitrophenol,1.15545e-12,11.3561,4.0957,278.91,4.20765e-10,0.251436,6.11321,233.12,1.91211,113.564,9.97059e-05,0.0967929
DTXSID0021917,DSSTox_Substance_Id,DTXSID0021917,n-Hexane,5.60844e-12,124.937,8.96342,68.599,0.492255,0.473709,2.56013,165.951,3.90054,-96.2548,150.711,0.000126707
DTXSID0021961,DSSTox_Substance_Id,DTXSID0021961,Benzophenone,1.24758e-12,12.1482,5.25122,305.417,7.12881e-07,0.067719,7.25371,426.789,3.18141,48.2661,0.00191301,0.000751735
DTXSID0021969,DSSTox_Substance_Id,DTXSID0021969,4-Hydroxy-3-methoxybenzaldehyde,1.74898e-11,4.85372,3.54186,285.024,1.8334e-09,0.122964,7.47953,88.4682,1.19255,82.0226,0.00011694,0.0717468
DTXSID0022010,DSSTox_Substance_Id,DTXSID0022010,cis-Oleyl alcohol,8.03281e-11,790.788,5.39744,331.026,5.96149e-06,0.72362,10.5878,2674.97,7.61385,50.5074,1.94959e-06,8.81031e-08
DTXSID0022519,DSSTox_Substance_Id,DTXSID0022519,Folic acid,2.83694e-11,6.49369,6.59457,290.203,2.05915e-11,0.210951,9.53771,45.4183,-0.0321543,180.771,1.27997e-09,3.65187e-06
DTXSID0023296,DSSTox_Substance_Id,DTXSID0023296,Methylene blue,1.4386e-11,15.6431,32.2807,341.65,1.52336e-06,1.36131,10.4192,738.432,0.625737,195.214,6.1407e-08,0.134518
DTXSID0023745,DSSTox_Substance_Id,DTXSID0023745,D-Xylose,3.5716e-11,1.66249,3.55969,311.335,9.76586e-09,0.115881,7.17639,56.6061,-2.31953,157.974,8.95823e-10,2.44109
DTXSID0024050,DSSTox_Substance_Id,DTXSID0024050,"1,1-Difluoroethane",3.40526e-14,10.1713,7.57326,-24.8203,0.0203249,0.160062,0.468927,19.8789,0.749271,-117.06,4524.23,0.0483628
DTXSID0024395,DSSTox_Substance_Id,DTXSID0024395,Acetic anhydride,1.77856e-12,5.00639,7.55998,139.405,1.18288e-06,0.0888522,2.74756,16.0933,0.228498,-72.8212,5.07271,1.1766
DTXSID0024553,DSSTox_Substance_Id,DTXSID0024553,Azodicarbonamide,8.03882e-13,2.37772,6.11936,257.099,1.82322e-09,0.119392,7.83942,39.1149,-1.69787,157.857,1.89416e-10,0.0560135
DTXSID0024719,DSSTox_Substance_Id,DTXSID0024719,Wollastonite,-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0024842,DSSTox_Substance_Id,DTXSID0024842,Coconut oil acid/Diethanolamine condensate (2:1),-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0024848,DSSTox_Substance_Id,DTXSID0024848,Cottonseed oil,-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0025101,DSSTox_Substance_Id,DTXSID0025101,3-Dimethylaminophenol,8.41439e-11,5.45183,3.73703,266.515,2.69369e-07,0.0875029,7.70008,84.4708,1.5613,85.8556,0.00398454,0.0254804
DTXSID0025234,DSSTox_Substance_Id,DTXSID0025234,Eosin,-,-,93.7874,491.864,2.61471e-05,1.07614,9.6686,67216.4,-,254.509,3.02668e-10,-
DTXSID0025363,DSSTox_Substance_Id,DTXSID0025363,Glycolic acid,1.08146e-12,4.21935,4.71857,205.865,5.37489e-09,0.0960987,6.52214,7.3753,-1.11093,79.4131,0.0200049,3.04018
DTXSID0025523,DSSTox_Substance_Id,DTXSID0025523,Maltol,3.97643e-11,1.62736,3.54624,202.061,4.08387e-07,0.150766,4.53095,90.3492,0.0882703,161.474,0.13152,0.262327
DTXSID0025949,DSSTox_Substance_Id,DTXSID0025949,Potassium oleate,4.94406e-11,93.3063,5.3554,359.986,6.05302e-08,0.910033,10.6121,2355.33,0.927166,174.229,1.39009e-06,4.34358e-08
DTXSID0026171,DSSTox_Substance_Id,DTXSID0026171,Tolyltriazole,-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0026252,DSSTox_Substance_Id,DTXSID0026252,Triphenyl phosphite,5.27731e-11,488.615,21.7705,360.073,3.88021e-06,1.77219,10.7478,30865.5,4.0763,25.1068,3.04253e-06,3.53368e-06
DTXSID0026339,DSSTox_Substance_Id,DTXSID0026339,alpha-Vitamin E,2.34773e-11,1705.39,50.0626,394.194,5.21197e-08,0.962319,10.2882,52900.6,9.40853,33.1038,2.3334e-07,2.79185e-08
DTXSID0026549,DSSTox_Substance_Id,DTXSID0026549,Gluconolactone,8.06502e-12,1.75168,3.54803,314.003,1.48701e-09,0.106861,8.18105,146.838,-2.43137,140.7,7.25774e-10,3.30477
DTXSID0026701,DSSTox_Substance_Id,DTXSID0026701,4-Methylbenzenesulfonic acid,2.32353e-12,5.4017,4.97523,291.954,1.34127e-08,0.115677,7.71324,73.5089,1.21514,104.323,8.87098e-07,3.59185
DTXSID0026838,DSSTox_Substance_Id,DTXSID0026838,Isopropyl tetradecanoate,1.73187e-11,796.676,5.69054,292.409,7.59007e-07,0.866433,8.20837,2504.28,6.90324,3.29851,9.36302e-05,5.19341e-08
DTXSID0026915,DSSTox_Substance_Id,DTXSID0026915,1-Undecanol,2.8577e-11,13.8731,5.67177,242.939,1.9189e-05,0.360121,7.76059,673.105,4.42381,18.9218,0.00296741,0.00017251
DTXSID0026967,DSSTox_Substance_Id,DTXSID0026967,Diethylene glycol dibenzoate,1.44108e-11,33.3912,5.66608,355.274,1.18142e-08,0.390209,10.1845,2399.7,2.71865,33.8062,1.28488e-06,1.23391e-05
DTXSID0027064,DSSTox_Substance_Id,DTXSID0027064,"Hexanoic acid, 2-ethyl-, cobalt(2+) salt",1.13746e-11,3.74133,4.78286,227.885,8.31926e-07,0.0724892,6.00196,66.4852,-1.01336,216.207,0.0301776,0.0138561
DTXSID0027066,DSSTox_Substance_Id,DTXSID0027066,Sodium [dodecanoyl(methyl)amino]acetate,1.18235e-11,121.049,5.72758,359.327,5.73087e-09,0.741988,10.6144,1364.12,1.25126,50.9984,7.26872e-07,0.0147757
DTXSID0027222,DSSTox_Substance_Id,DTXSID0027222,Terpinolene,2.24984e-10,223.878,11.6529,185.91,0.0261629,4.6596,4.60988,2313.82,4.46976,36.6787,0.747495,6.94187e-05
DTXSID0027278,DSSTox_Substance_Id,DTXSID0027278,Aluminum stearate,1.65005e-11,517.32,18.9526,382.842,6.64788e-08,1.12038,10.6209,3946.22,5.46246,178.756,7.14871e-07,2.08416e-06
DTXSID0027309,DSSTox_Substance_Id,DTXSID0027309,Ethyl 3-ethoxypropionate,2.28172e-11,2.59561,4.13326,174.278,2.33174e-05,0.13419,4.12734,27.5573,0.654932,-56.1718,1.00289,0.369107
DTXSID0027351,DSSTox_Substance_Id,DTXSID0027351,Sodium decanoate,1.14653e-11,7.36949,4.99368,268.783,1.55369e-07,0.287577,7.71417,452.883,0.701608,175.144,0.000371237,0.000362286
DTXSID0027353,DSSTox_Substance_Id,DTXSID0027353,Ammonium stearate,1.65005e-11,517.32,18.9526,382.842,6.64788e-08,1.12038,10.6209,3946.22,7.88551,127.289,7.14871e-07,2.08416e-06
DTXSID00274022,DSSTox_Substance_Id,DTXSID00274022,"Benzenesulfonic acid, 4-(1-methylundecyl)-, sodium salt",1.3834e-11,24.7688,9.04099,315.719,2.27675e-07,1.12396,10.9578,3575.13,3.36896,99.6138,9.89418e-07,3.28316e-05
DTXSID0027640,DSSTox_Substance_Id,DTXSID0027640,Malic acid,3.19197e-12,4.89749,3.56188,318.067,6.25678e-09,0.14285,6.76808,29.409,-1.2627,131.079,3.28831e-08,5.17483
DTXSID0027642,DSSTox_Substance_Id,DTXSID0027642,"C.I. Pigment Red 48, calcium salt (1:1)",1.82354e-11,9.27389,3.35278,313.691,1.57041e-10,0.192874,9.34006,138.592,-0.28472,211.358,3.52972e-11,3.38431e-05
DTXSID0027644,DSSTox_Substance_Id,DTXSID0027644,"N-Oleyl-1,3-propanediamine",4.46584e-11,558.515,5.25883,326.35,4.6248e-08,0.250162,9.33001,13941.9,8.63169,41.4898,3.63214e-06,7.95888e-05
DTXSID0027696,DSSTox_Substance_Id,DTXSID0027696,"Tallow, hydrogenated",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0027698,DSSTox_Substance_Id,DTXSID0027698,"Quaternary ammonium compounds, trimethyltallow alkyl, chlorides",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0027775,DSSTox_Substance_Id,DTXSID0027775,"Phosphonic acid, [[(phosphonomethyl)imino]bis[2,1-ethanediylnitrilobis(methylene)]]tetrakis-",2.08591e-11,3.08802,4.07594,363.135,2.69398e-11,0.32549,9.60328,58.8288,-3.47319,200.784,8.06754e-10,0.367533
DTXSID0027802,DSSTox_Substance_Id,DTXSID0027802,Propylene glycol dibenzoate,9.39923e-12,52.4907,4.93364,347.255,6.63266e-08,0.389894,8.53267,2550.09,3.24614,81.1918,1.95077e-06,3.2327e-05
DTXSID0027852,DSSTox_Substance_Id,DTXSID0027852,Chlorotoluene,-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0027856,DSSTox_Substance_Id,DTXSID0027856,Dipropylene glycol,-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0027933,DSSTox_Substance_Id,DTXSID0027933,Diisooctyl phthalate,-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0027939,DSSTox_Substance_Id,DTXSID0027939,Pentaerythritol tristearate,8.30395e-11,52.0487,210.909,482.863,1.87603e-09,2.12138,11.7986,29801.3,7.34186,-14.8549,1.54123e-09,7.87364e-08
DTXSID0027983,DSSTox_Substance_Id,DTXSID0027983,Dipropylene glycol monomethyl ether,-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0028034,DSSTox_Substance_Id,DTXSID0028034,5(6)-Carboxy-4-hexyl-2-cyclohexene-1-octanoic acid,-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0028038,DSSTox_Substance_Id,DTXSID0028038,3-Iodo-2-propynyl-N-butylcarbamate,9.18083e-12,8.93691,4.44738,275.101,1.82962e-08,0.112021,8.54074,13.4558,2.09061,57.1857,0.000998911,0.0196452
DTXSID0028080,DSSTox_Substance_Id,DTXSID0028080,"Quaternary ammonium compounds, dicoco alkyldimethyl, chlorides",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0028084,DSSTox_Substance_Id,DTXSID0028084,"Sulfonic acids, petroleum, calcium salts",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0028086,DSSTox_Substance_Id,DTXSID0028086,Tallow,-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0028111,DSSTox_Substance_Id,DTXSID0028111,"Ethanol, 2,2'-iminobis-, N-coco alkyl derivs., N-oxides",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0028115,DSSTox_Substance_Id,DTXSID0028115,"Hydrocarbon waxes, microcrystalline",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0028246,DSSTox_Substance_Id,DTXSID0028246,"Solvent naphtha, petroleum, light aliph.",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0028294,DSSTox_Substance_Id,DTXSID0028294,"Rosin, hydrogenated",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0028298,DSSTox_Substance_Id,DTXSID0028298,"Corn, steep liquor",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0028323,DSSTox_Substance_Id,DTXSID0028323,"Alcohols, C16-18",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0028373,DSSTox_Substance_Id,DTXSID0028373,"Benzenesulfonic acid, mono-C10-16-alkyl derivs., sodium salts",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0028404,DSSTox_Substance_Id,DTXSID0028404,Tall-oil fatty acid DEA,-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0028458,DSSTox_Substance_Id,DTXSID0028458,"Fatty acids, tallow, hydrogenated, dimers, diketene derivs.",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0028531,DSSTox_Substance_Id,DTXSID0028531,"Hydrocarbons, C3-4",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0028666,DSSTox_Substance_Id,DTXSID0028666,"1,2-Benzenedicarboxylic acid, di-C9-11-branched alkyl esters, C10-rich",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0028741,DSSTox_Substance_Id,DTXSID0028741,"Alcohols, C16-18, distn. residues",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0028953,DSSTox_Substance_Id,DTXSID0028953,"Aldehydes, C2-4, condensation products with acetone, dehydrated, hydrogenated, distn. residues",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0028957,DSSTox_Substance_Id,DTXSID0028957,"Glycerides, C14-22 mono-, acetates",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0029006,DSSTox_Substance_Id,DTXSID0029006,"Quaternary ammonium compounds, bis(hydrogenated tallow alkyl)dimethyl, salts with hectorite",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0029214,DSSTox_Substance_Id,DTXSID0029214,Methylionone,-,-,-,-,-,-,-,-,-,-,-,-
DTXSID0029216,DSSTox_Substance_Id,DTXSID0029216,Cobalt propionate,1.22048e-12,4.18704,4.44198,141.179,4.45111e-07,0.0945009,3.94535,10.001,-1.79442,242.531,3.52868,8.36017
DTXSID0029264,DSSTox_Substance_Id,DTXSID0029264,C.I. Fluorescent brightening agent 28,8.27298e-11,5.39405,12.3099,364.445,5.93455e-11,0.231986,9.61938,30939.6,4.75456,161.962,3.99302e-08,0.0369393
