DTXSID,true_chemname,true_cas
DTXSID0034649,Glyphosate isopropylamine,38641-94-0
DTXSID7025394,Triazinetriethanol,4/4/4719
DTXSID2020711,Hydrochloric acid,7647-01-0
DTXSID2020715,Hydrogen peroxide,7722-84-1
DTXSID9042049,Hydroprene,41096-46-2
DTXSID8032623,Indole-3-butyric acid,133-32-4
DTXSID8024151,Imazalil,35554-44-0
DTXSID7034672,Iodine,7553-56-2
DTXSID7020762,Isopropanol,67-63-0
DTXSID6027684,Kerosine,8008-20-6
DTXSID7034414,Calcium polysulfide,1344-81-6
DTXSID2029612,Limonene,138-86-3
DTXSID2020686,Lindane,58-89-9
DTXSID1034688,Lithium hypochlorite,13840-33-0
DTXSID4020791,Malathion,121-75-5
DTXSID0034695,Mancozeb,8018-01-7
DTXSID9020794,Maneb,12427-38-2
DTXSID0034699,MCPA dimethylamine salt,2039-46-5
DTXSID9024194,Mecoprop,93-65-2
DTXSID7034705,Mecoprop-dimethylammonium,32351-70-5
DTXSID7034707,Mecoprop-potassium,1929-86-8
DTXSID1024170,"1,1-Dimethylpiperidinium chloride",24307-26-4
DTXSID6024175,Metalaxyl,57837-19-1
DTXSID80109343,Metaldehyde,37273-91-9
DTXSID4024305,Silver,7440-22-4
DTXSID2029167,Metam-sodium,137-42-8
DTXSID3032626,Methiocarb,2032-65-7
DTXSID1022267,Methomyl,16752-77-5
DTXSID8032627,Methoprene,40596-69-8
DTXSID9020827,Methoxychlor,72-43-5
DTXSID8020832,Methyl bromide,74-83-9
DTXSID2021943,2-Undecanone,112-12-9
DTXSID1020855,Methyl parathion,298-00-0
DTXSID8025599,Methylene bis(thiocyanate),6317-18-6
DTXSID3034743,Mineral oil - includes paraffin oil,8012-95-1
DTXSID2025686,Monosodium methanearsonate,2163-80-6
DTXSID0032653,cis-Tricos-9-ene,27519-02-4
DTXSID30999059,"2-Octyl-3a,4,7,7a-tetrahydro-1H-4,7-methanoisoindole-1,3(2H)-dione",7786-80-3
DTXSID8020915,1-Naphthaleneacetic acid,86-87-3
DTXSID5020603,Nabam-sodium,142-59-6
DTXSID1024209,Naled,300-76-5
DTXSID1025805,Octhilinone,26530-20-1
DTXSID9035549,Octyl decyl dimethyl ammonium chloride,32426-11-2
DTXSID4040345,Citronella oil,8000-29-1
DTXSID1025809,Oleic acid,112-80-1
DTXSID5020154,Clorophene,120-32-1
DTXSID6035732,Potassium 2-benzyl-4-chlorophenate,35471-49-9
DTXSID7035644,Sodium 2-benzyl-4-chlorophenate,3184-65-4
DTXSID2021151,2-Phenylphenol,90-43-7
DTXSID2035691,Potassium biphenyl-2-olate,13707-65-8
DTXSID2021153,Sodium 2-phenylphenate,132-27-4
DTXSID8024238,Oryzalin,19044-88-3
DTXSID3024239,Oxadiazon,19666-30-9
DTXSID7024241,Oxyfluorfen,42874-03-3
DTXSID1020431,"1,4-Dichlorobenzene",106-46-7
DTXSID8021771,4-(2-Methylbutan-2-yl)phenol,80-46-6
DTXSID9035757,Potassium 4-(2-methylbutan-2-yl)phenolate,53404-18-5
DTXSID2021105,Pentachloronitrobenzene,82-68-8
DTXSID7024245,Pendimethalin,40487-42-1
DTXSID8022292,Permethrin,52645-53-1
DTXSID1025853,Peracetic acid,79-21-0
DTXSID3027669,Petroleum,5/9/8002
DTXSID4028252,Light aromatic solvent naphtha (petroleum),64742-95-6
DTXSID7032688,Phenothrin,26002-80-2
DTXSID4032459,Phorate,298-02-2
DTXSID5024261,Phosmet,732-11-6
DTXSID5024263,Phosphoric acid,7664-38-2
DTXSID2027670,Pine oils,9/3/8002
DTXSID1021166,Piperonyl butoxide,51-03-6
DTXSID2034831,Polybutene,9003-29-6
DTXSID1057583,"Fatty acids, potassium salts",8046-74-0
DTXSID7034834,Potassium dimethyldithiocarbamate,128-03-0
DTXSID1034424,Potassium N-methyldithiocarbamate,137-41-7
DTXSID1034840,Potassium peroxymonosulfate,10058-23-8
DTXSID6022341,Prometon,1610-18-0
DTXSID4024272,Prometryn,7287-19-6
DTXSID8025961,Propionic acid,79-09-4
DTXSID7021948,Propoxur,114-26-1
DTXSID0021206,"1,2-Propylene glycol",57-55-6
DTXSID8034873,Pyrethrins,8003-34-7
DTXSID7022253,Resmethrin,10453-86-8
DTXSID1035783,S-Methoprene,65733-16-6
DTXSID1029677,Silica,7631-86-9
DTXSID0049573,Dimethyl polysiloxane,63148-62-9
DTXSID4021268,Simazine,122-34-9
DTXSID1034896,Soap,68952-95-4
DTXSID9021269,Sodium bicarbonate,144-55-8
DTXSID3033983,Sodium hydrogen sulfate,7681-38-1
DTXSID8034902,Sodium bisulfite,7631-90-5
DTXSID3034903,Sodium bromide,7647-15-6
DTXSID3034408,"Cacodylic acid, sodium salt",124-65-2
DTXSID1029621,Carbonic acid sodium salt (1:2),497-19-8
DTXSID7026025,Sodium chlorate,7775-09-9
DTXSID8021272,Sodium chlorite,7758-19-2
DTXSID3024994,Sodium dichloroisocyanurate,2893-78-9
DTXSID0029761,Sodium dichloroisocyanurate dihydrate,51580-86-0
DTXSID6027050,Sodium dimethyldithiocarbamate,128-04-1
DTXSID7025219,Sodium dodecylbenzenesulfonate,25155-30-0
DTXSID0029634,Sodium hydroxide,1310-73-2
DTXSID8021276,Sodium hypochlorite,7681-52-9
DTXSID2034386,Sodium metaborate,7775-19-1
DTXSID5049780,Sodium metaborate tetrahydrate,10555-76-7
DTXSID7029669,Sodium metasilicate,6834-92-0
DTXSID7035725,Sodium 4-(2-methylbutan-2-yl)phenolate,31366-95-7
DTXSID6034920,Sodium pyrithione,15922-78-8
DTXSID6049646,Sodium sesquicarbonate,533-96-0
DTXSID3026302,Sodium xylenesulfonate,1300-72-7
DTXSID6023600,Strychnine,57-24-9
DTXSID2021288,Sucrose,57-50-1
DTXSID1032646,N-Ethylperfluorooctanesulfonamide,4151-50-2
DTXSID9034941,Sulfur,7704-34-9
DTXSID7037555,tau-Fluvalinate,102851-06-9
DTXSID6032647,2-(Thiocyanomethylthio)benzothiazole,21564-17-0
DTXSID4027608,Terbutylazine,5915-41-3
DTXSID1032648,Z-Tetrachlorvinphos,22248-79-9
DTXSID6032649,Tetramethrin,7696-12-0
DTXSID3036446,Potassium pyrophosphate,7320-34-5
DTXSID0021337,Thiabendazole,148-79-8
DTXSID1024338,Thiophanate-methyl,23564-05-8
DTXSID5021332,Thiram,137-26-8
DTXSID3023897,Triadimefon,43121-43-3
DTXSID3040350,Tributyltin neodecanoate,28801-69-6
DTXSID9020166,Bis(tributyltin)oxide,56-35-9
DTXSID0021389,Trichlorfon,52-68-6
DTXSID5026201,Trichloromelamine,7673-09-8
DTXSID2026523,Symclosene,87-90-1
DTXSID0034302,Triclopyr triethylamine salt,57213-69-1
DTXSID9021392,Triethanolamine,102-71-6
DTXSID4021393,Triethylene glycol,112-27-6
DTXSID4021395,Trifluralin,1582-09-8
DTXSID5032654,Triforine,26644-46-2
DTXSID8027034,"2-(Hydroxymethyl)-2-nitro-1,3-propanediol",126-11-4
DTXSID2035223,Trisodium phosphate,7601-54-9
DTXSID4027816,"Urea, sulfate (1:1)",21351-39-3
DTXSID5057595,Vegetable oils,68956-68-3
DTXSID5023742,Warfarin,81-81-2
DTXSID5028871,"Hydrocarbons, C7-9",68920-06-9
DTXSID4027735,Zinc naphthenate,12001-85-3
DTXSID401015779,Zinc phosphide,51810-70-9
DTXSID2040315,Zinc sulfate,7733-02-0
DTXSID0021464,Ziram,137-30-4
DTXSID7034678,Dichlorprop-isooctyl,28631-35-8
DTXSID3020047,Allyl isothiocyanate,57-06-7
DTXSID9021554,Decanoic acid,334-48-5
DTXSID4034287,5-Heptyldihydro-2(3H)-furanone,104-67-6
DTXSID0034229,gamma-Nonanolactone,104-61-0
DTXSID401009837,"Oils, costus",8023-88-9
DTXSID8024159,Isoxaben,82558-50-7
DTXSID3021641,Nonanoic acid,112-05-0
DTXSID9026051,Stoddard solvent,8052-41-3
DTXSID5023871,Amitraz,33089-61-1
DTXSID1029704,Ammonium sulfate,7783-20-2
DTXSID8034748,Calcium bis(hydrogen methylarsonate),5902-95-4
DTXSID5034488,Cupric oxide,1317-38-0
DTXSID6034475,Dicopper chloride trihydroxide,1332-65-6
DTXSID5032442,Imidacloprid,138261-41-3
DTXSID7025502,Linalool,78-70-6
DTXSID901015429,Manganese sulfate,10124-55-7
DTXSID0051233,Mineral spirits,64475-85-0
DTXSID7028227,"Residual oils, petroleum, solvent-dewaxed",64742-62-7
DTXSID0024343,Tralomethrin,66841-25-6
DTXSID1034341,Arsenic acid,7778-39-4
DTXSID1034343,Arsenic(V) pentoxide,1303-28-2
DTXSID3032678,Avermectin,73989-17-0
DTXSID8034455,Chromic(VI) acid,7738-94-5
DTXSID8028212,"Distillates, petroleum, hydrotreated light",64742-47-8
DTXSID0032572,Prallethrin,23031-36-9
DTXSID1032640,Pyriproxyfen,95737-68-1
DTXSID8027660,Soy oil,8001-22-7
DTXSID0028088,"Fatty acids, tall-oil",61790-12-3
DTXSID4021426,Urea,57-13-6
DTXSID5032523,"1,2-Benzisothiazolin-3-one",2634-33-5
DTXSID6023810,Benzethonium chloride,121-54-0
DTXSID3032545,2-(Decylthio)ethanamine hydrochloride,36362-09-1
DTXSID8034746,"4,4'-(2-Ethyl-2-nitrotrimethylene)dimorpholine",1854-23-5
DTXSID5032527,4-(2-Nitrobutyl)morpholine,2224-44-4
DTXSID8024652,Bronopol,52-51-7
DTXSID7024742,Castor oil,8001-79-4
DTXSID8020462,Diethylene glycol,111-46-6
DTXSID9032379,Dithiopyr,97886-45-8
DTXSID2032390,Fenarimol,60168-88-9
DTXSID6023868,Hydramethylnon,67485-29-4
DTXSID3024154,Iprodione,36734-19-7
DTXSID4024195,MCPA,94-74-6
DTXSID6031623,Methyl soyate,67784-80-9
DTXSID8024315,Myclobutanil,88671-89-0
DTXSID5024211,Napropamide,15299-99-7
DTXSID8028183,"Extracts, petroleum, light naphthenic distillate solvent",64742-03-6
DTXSID1034210,Prodiamine,29091-21-2
DTXSID8024280,Propiconazole,60207-90-1
DTXSID1026031,Sodium dodecyl sulfate,151-21-3
DTXSID9035204,Tributyltin methacrylate,2155-70-6
DTXSID5032579,Triclopyr butotyl,64700-56-7
DTXSID3035341,"1,3-Dibromo-5,5-dimethylhydantoin",77-48-5
DTXSID4034235,"2,4-D 2-EHE",1928-43-4
DTXSID3036238,Calcium carbonate,471-34-1
DTXSID7034410,Calcium hydroxide,1305-62-0
DTXSID20891957,Corn gluten protein,66071-96-3
DTXSID8020381,Deltamethrin,52918-63-5
DTXSID5020607,Di(2-ethylhexyl) phthalate,117-81-7
DTXSID1035288,"8,10-Dodecadien-1-ol",33956-49-9
DTXSID9035672,"Phosphoric acid, Iron(3+) salt (1:1)",10045-86-0
DTXSID3034298,Mefluidide-diolamine,53780-36-2
DTXSID2025688,Morpholine,110-91-8
DTXSID8028266,Normal C5-20 paraffins (petroleum),64771-72-8
DTXSID9028968,"Hydrocarbons, C6-30",69430-33-7
DTXSID5034565,Egg solids,51609-52-0
DTXSID3021271,Sodium chloride,7647-14-5
DTXSID0021331,Tetrakis(hydroxymethyl)phosphonium sulfate,55566-30-8
DTXSID7035305,(E)-5-Decen-1-ol,56578-18-8
DTXSID0035295,(E)-5-Decen-1-ol acetate,38421-90-8
DTXSID9020112,Atrazine,1912-24-9
DTXSID3047475,Canola oil,120962-03-0
DTXSID9027651,Carbon,7440-44-0
DTXSID2066856,"Acetic acid, ammonium copper salt",23087-46-9
DTXSID4034609,Fipronil,120068-37-3
DTXSID1024120,Glufosinate-ammonium,77182-82-2
DTXSID1024122,Glyphosate,1071-83-6
DTXSID8034669,Imiprothrin,72963-72-5
DTXSID5034856,Mecoprop-P-dimethylammonium,66423-09-4
DTXSID6025567,Methyl 2-aminobenzoate,134-20-3
DTXSID4029692,Potassium nitrate,7757-79-1
DTXSID5029683,Sulfuric acid,7664-93-9
DTXSID4022361,Vinclozolin,50471-44-8
DTXSID0032314,"4,4-Dimethyl oxazolidine",51200-87-4
DTXSID901011253,"Bicyclo[3.1.1]heptane, 6,6-dimethyl-2-methylene-, homopolymer",25719-60-2
DTXSID9020160,Bifenthrin,82657-04-3
DTXSID70107838,Neem oil,8002-65-1
DTXSID6034265,Clopyralid-olamine,57754-85-5
DTXSID5035294,(E)-Dodec-8-enyl acetate,38363-29-0
DTXSID0028329,"Fatty acids, C6-12, methyl esters",67762-39-4
DTXSID1020643,Fosetyl-Al,39148-24-8
DTXSID3032416,Cybutryne,28159-98-0
DTXSID9028253,"Solvent naphtha, petroleum, heavy aliph.",64742-96-7
DTXSID5029633,Potassium hydroxide,1310-58-3
DTXSID7032474,Siduron,1982-49-6
DTXSID7034389,Boron sodium oxide pentahydrate,12179-04-3
DTXSID9026053,Streptomycin sulfate (2:3),3810-74-0
DTXSID3035266,(Z)-Tetradec-11-enyl acetate,20711-10-8
DTXSID5035741,"8-Dodecen-1-ol, (8Z)-",40642-40-8
DTXSID9035543,(Z)-8-Dodecen-1-ol acetate,28079-04-1
DTXSID3035214,1-Octen-3-ol,3391-86-4
DTXSID1024097,2-Butoxyethanol,111-76-2
DTXSID8029153,Benzyl benzoate,120-51-4
DTXSID1021740,1-Butanol,71-36-3
DTXSID1047077,Copper(II) carbonate basic,12069-69-1
DTXSID0034778,"Octanoic acid, copper salt",20543-04-8
DTXSID4032374,Difethialone,104653-34-1
DTXSID1024049,Diflubenzuron,35367-38-5
DTXSID8034580,Ethofumesate,26225-79-6
DTXSID1026378,Ethylene,74-85-1
DTXSID8024109,Flutolanil,66332-96-5
DTXSID7032559,?-Cyhalothrin,91465-08-6
DTXSID2024242,Paclobutrazol,76738-62-0
DTXSID4047597,Poloxalene,11/6/9003
DTXSID0021177,Potassium bicarbonate,298-14-6
DTXSID8022959,Docusate sodium,577-11-7
DTXSID7032478,Spinosad,168316-95-8
DTXSID90860837,"(3R,6S)-6-Isopropenyl-3-methyl-9-decen-1-yl acetate",67601-06-3
DTXSID0035792,"(3S,6S)-6-Isopropenyl-3-methyl-9-decen-1-yl acetate",67601-10-9
DTXSID4035592,(E)-4-Tridecen-l-yl acetate,72269-48-8
DTXSID1035785,"2,4-Dodecadienoic acid, 3,7,11-trimethyl-, 2-propynyl ester, (S-(E,E))-",65733-20-2
DTXSID6035730,(Z)-11-Hexadecenyl acetate,34010-21-4
DTXSID1032303,(Z)-11-Hexadecenal,53939-28-9
DTXSID6035786,(Z)-4-Tridecen-1-yl acetate,65954-19-0
DTXSID8035217,"1,3-Dimethylol-5,5-dimethylhydantoin",6440-58-0
DTXSID8035423,"1,4-Dimethylnaphthalene",571-58-4
DTXSID2040735,"1,7-Dioxaspiro[5.5]undecane",180-84-7
DTXSID5024760,N-(3-Chloroallyl)hexaminium chloride,4080-31-3
DTXSID2035643,1-Methylcyclopropene,3100-04-7
DTXSID0032443,"10,10'-Oxybisphenoxarsine",58-36-6
DTXSID9034238,"2,4-Dichlorophenoxyacetic acid diethanolamine",5742-19-8
DTXSID8034243,"2,4-D Triisopropanolammonium salt",18584-79-7
DTXSID2021864,"2,4-Dimethylphenol",105-67-9
DTXSID5047532,2-[(Hydroxymethyl)amino]ethanol,65184-12-5
DTXSID1026033,Sodium ethasulfate,126-92-1
DTXSID4027999,"2-Phosphono-1,2,4-butanetricarboxylic acid",37971-36-1
DTXSID4035542,"N,N-Dimethyl-N-(3-(trimethoxysilyl)propyl) octadecan-1-aminium chloride",27668-52-6
DTXSID7034547,"Dimethylamine 4-(2,4-dichlorophenoxy)butyrate",2758-42-1
DTXSID5032315,"4,5-Dichloro-2-octyl-3(2H)-isothiazolone",64359-81-5
DTXSID0023870,4-Aminopyridine,504-24-5
DTXSID0032316,"4-Chloro-3,5-dimethylphenol",88-04-0
DTXSID4034289,"5-Hydroxymethyl-1-aza-3,7-dioxabicyclo(3.3.0)octane",6542-37-6
DTXSID8023892,Abamectin,71751-41-2
DTXSID0034300,Acetamiprid,135410-20-7
DTXSID1032519,Acibenzolar-S-methyl,135158-54-2
DTXSID4034310,C.I. Acid Blue 9,2650-18-2
DTXSID5020023,Acrolein,107-02-8
DTXSID1050466,Acrylamide/ sodium acrylate copolymer,25085-02-3
DTXSID90904563,Agrobacterium radiobacter (strain K84),NOCAS_904563
DTXSID1022265,Alachlor,15972-60-8
DTXSID0039223,Aldicarb,116-06-3
DTXSID9049877,Alkylbenzenesulfonic acid,NOCAS_49877
DTXSID3034828,Polyethoxylated isooctadecanol,52292-17-8
DTXSID1034266,Aviglycine hydrochloride,55720-26-8
DTXSID5035618,Ammonium hydrogen carbonate,1066-33-7
DTXSID2029668,Ammonium nitrate,6484-52-2
DTXSID9066207,"Propanoic acid, ammonium salt",17496-08-1
DTXSID401009744,"Fatty acids, tall-oil, ammonium salts",68132-50-3
DTXSID6029703,Ammonium thiosulfate,7783-18-8
DTXSID2034338,Ancymidol,12771-68-5
DTXSID0074007,Arsenite,15502-74-6
DTXSID3020122,Azinphos-methyl,86-50-0
DTXSID0032520,Azoxystrobin,131860-33-8
DTXSID00894946,Bacillus sphaericus,143447-72-7
DTXSID80897374,Bacillus subtilis,68038-70-0
DTXSID1034347,Barium metaborate,13701-59-2
DTXSID40897355,Beauveria bassiana,63428-82-0
DTXSID5023900,Benomyl,17804-35-2
DTXSID7024164,Bensulfuron-methyl,83055-99-6
DTXSID0032522,Bentazone-sodium,50723-80-3
DTXSID6030782,Bentonite,1302-78-9
DTXSID6020143,Benzoic acid,65-85-0
DTXSID9034361,Denatonium saccharide,90823-38-4
DTXSID8032330,beta-Cyfluthrin,1820573-27-0
DTXSID5032525,Bifenazate,149877-41-8
DTXSID3032331,Bis(trichloromethyl)sulfone,3064-70-8
DTXSID7034383,Bispyribac-sodium,125401-92-5
DTXSID9034284,"Bromacil, lithium salt",53404-19-6
DTXSID8032592,Bromoxynil heptanoate,56634-95-8
DTXSID7023932,Bromoxynil octanoate,1689-99-2
DTXSID8034401,Buprofezin,69327-76-0
DTXSID3041457,3-(Butylacetylamino)propionic acid,195251-34-4
DTXSID5020235,Calcium chloride,10043-52-4
DTXSID3021645,Octanoic acid,124-07-2
DTXSID4024729,Carbendazim,10605-21-7
DTXSID9020249,Carbofuran,1563-66-2
DTXSID4027028,Carbon dioxide,124-38-9
DTXSID0023951,Carboxin,5234-68-4
DTXSID4032532,Carfentrazone-ethyl,128639-02-1
DTXSID1040829,Caseins,9000-71-9
DTXSID9032533,Chlorfenapyr,122453-73-0
DTXSID9034440,Chlorflurenol-methyl (mixture),37339-61-0
DTXSID7032345,Chlorhexidine diacetate,56-95-1
DTXSID6020303,Chlormequat chloride,999-81-5
DTXSID2024793,Chloroneb,2675-77-6
DTXSID7020764,Chlorpropham,101-21-3
DTXSID7023980,Chlorsulfuron,64902-72-3
DTXSID3034458,Clethodim,99129-21-2
DTXSID9023881,Clofentezine,74115-24-5
DTXSID1032355,Clomazone,81777-89-1
DTXSID9029221,Clopyralid,1702-17-6
DTXSID0024842,Coconut oil acid/Diethanolamine condensate (2:1),68603-42-9
DTXSID1034470,Copper ammonium carbonate,33113-08-5
DTXSID1034472,Copper ethylene diamine complex,13426-91-0
DTXSID6034477,Copper salts of fatty and rosin acids,9007-39-0
DTXSID2020347,Coumaphos,56-72-4
DTXSID0034481,Copper thiocyanate,1111-67-7
DTXSID9043720,Sodium cyanurate,2624-17-1
DTXSID5032600,Cyclanilide,113136-77-9
DTXSID6032356,Cycloate,1134-23-2
DTXSID1034503,Cyhalofop-butyl,122008-85-9
DTXSID6032358,Cymoxanil,57966-95-7
DTXSID1032359,Cyprodinil,121552-61-2
DTXSID6023999,Cyromazine,66215-27-8
DTXSID9020370,Daminozide,1596-84-5
DTXSID8034376,Denatonium benzoate,3734-33-6
DTXSID0034518,Desmedipham,13684-56-5
DTXSID20891750,Dextrin,9004-53-9
DTXSID8027450,Sodium dicamba,1982-69-0
DTXSID0032605,"Methyl (RS)-2-[4-(2,4-dichlorophenoxy)phenoxy]propionate",51338-27-3
DTXSID4032372,Difenoconazole,119446-68-3
DTXSID6024048,Difenzoquat metilsulfate,43222-48-6
DTXSID9032375,Diflufenzopyr-sodium,109293-98-3
DTXSID4034366,Dicamba-diglycoamine,104040-79-1
DTXSID3032541,Diiodomethyl 4-methylphenyl sulfone,20018-09-1
DTXSID2034540,Dikegulac sodium,52508-35-7
DTXSID0024052,Dimethipin,55290-64-7
DTXSID7034545,Dimethomorph,110488-70-5
DTXSID7028063,"Amines, dimethylsoya alkyl",61788-91-8
DTXSID9023833,Polydimethylsiloxane,9016-00-6
DTXSID1034551,Diphacinone-sodium,42721-99-3
DTXSID4021975,Diphenylamine,122-39-4
DTXSID1026039,Dibasic sodium phosphate,7558-79-4
DTXSID9027073,"Ethylenediaminetetraacetic acid, disodium salt",139-33-3
DTXSID3020548,Dodine,2439-10-3
DTXSID1035286,(E)-11-Tetradecen-1-ol acetate,33189-72-9
DTXSID0034566,Emamectin benzoate,155569-91-8
DTXSID0034568,Endothal-dipotassium,2164-07-0
DTXSID1027687,"Soybean oil, epoxidized",7/8/8013
DTXSID8032386,Ethalfluralin,55283-68-6
DTXSID4032611,Ethoprop,13194-48-4
DTXSID9035753,Ethyl 3-(N-butylacetamido)propionate,52304-36-6
DTXSID8020597,Ethylene glycol,107-21-1
DTXSID5024182,2-Methoxyethanol,109-86-4
DTXSID3032389,Farnesol,4602-84-0
DTXSID3024102,Fenamiphos,22224-92-6
DTXSID8032548,Fenbuconazole,114369-43-6
DTXSID7032391,Fenbutatin oxide,13356-08-6
DTXSID3032549,Fenhexamid,126833-17-8
