DTXSID,true_chemname,true_cas,esc
DTXSID001012759,"Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-, polymer with 1,1'-methylenebis[4-isocyanatocyclohexane]",39444-87-6,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID001013440,"1H-Pyrazole-3-carboxylic acid, 4,5-dihydro-5-oxo-1-(4-sulfophenyl)-4-[2-(4-sulfophenyl)diazenyl]-, sodium salt, compd. with 2-aminoethanol (1:?:?)",111636-30-7,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID001015046,"Sulfuric acid, mono-C10-16-alkyl esters, magnesium salts",68081-97-0,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID001015096,Rosmarinus officinalis leaf extract,84604-14-8,Active_ingredient_in_products; Pesticides; Children_products_and_toys; Personal_care; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID001015565,Manganese sulfate tetrahydrate,10101-68-5,Active_ingredient_in_products; Pesticides
DTXSID001016618,Clethodim-sulfone,111031-17-5,Pesticides; Surface_water
DTXSID001016632,Aglepristone,124478-60-0,Active_ingredient_in_products; Pharmaceutical
DTXSID001016749,"1,2-Benzisothiazol-3(2H)-one, lithium salt",111337-53-2,Active_ingredient_in_products; Pesticides
DTXSID001017842,Hydroxysimazine,2599-11-3,Pesticides; Surface_water
DTXSID001017911,Desulfinylfipronil amide,1115248-09-3,Pesticides; Surface_water; Bottled_and_finished_water_for_consumption
DTXSID001018757,"2,?4-?Imidazolidinedione, (hydroxymethyl)?-?5,?5-?dimethyl-",27636-82-4,Personal_care; Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID00102553,"Silicic acid, sodium salt, reaction products with chlorotrimethylsilane and iso-Pr alc.",68988-56-7,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID00102775,"Phosphoric acid, butyl ester, manganese(2+) salt",69011-04-7,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID00103262,"Soybean oil, polymer with benzoic acid, pentaerythritol, phthalic anhydride, TDI and trimethylolpropane",70131-70-3,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID00104178,"Disodium 2(or 5)-butyl-5(or 2)-[[4-[(4-butylsulphonatophenyl)amino]-9,10-dihydro-5,8-dihydroxy-9,10-dioxo-1-anthryl]amino]benzenesulphonate",71927-89-4,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID00104496,"Quaternary ammonium compounds, tri-C6-12-alkylmethyl, chlorides",72749-59-8,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID00104577,"Sulfuric acid, mono-C9-13-alkyl esters, sodium salts",72906-11-7,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID00104774,"Sulfuric acid, mono-C12-16-alkyl esters, potassium salts",73296-90-9,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID00105261,"Benzenesulfonic acid, 4-C10-13-sec-alkyl derivs.",85536-14-7,Active_ingredient_in_products; Pesticides; Occupational_products; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID00105862,"Lignin, alkali, reaction products with disodium sulfite and formaldehyde",105859-97-0,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID00106278,"Naphthalenesulfonic acid, iso-Pr derivs., sodium salts",127646-44-0,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID00106334,"2-Propenenitrile, polymer with diethenylbenzene, ethenylethylbenzene and 1,7-octadiene, hydrolyzed",130353-60-5,Substances_in_contact_with_food; Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID00107785,Beer,8029-31-0,Active_ingredient_in_products; Pesticides; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID00107801,"Alkanes, iso-",64365-06-6,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID00107806,C.I. Solvent Red 164,71819-51-7,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID00107821,"Formaldehyde, polymer with methyloxirane, oxirane and (1,1,3,3-tetramethylbutyl)phenol, graft",113213-81-3,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID00107826,"Benzenesulfonic acid, 4-amino-, polymer with formaldehyde and 3-methylphenol",122436-67-3,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID00109108,Saponins,8047-15-2,Active_ingredient_in_products; Pesticides; General_consumer_product; Personal_care
DTXSID00109123,"Phosphoric acid, calcium zinc salt (2:1:2)",15974-07-9,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID00109168,"Ascophyllum nodosum, ext.",84775-78-0,Children_products_and_toys; Personal_care; Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID00109183,Hypermer A 60,132175-04-3,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID00110077,Polyoxyethylene trimethyldecyl alcohol,69011-36-5,Occupational_products; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID00148436,4-nonylphenoxy diethoxy acetic acid (NP3EC),108149-59-3,Surface_water; Wastewater
DTXSID00157826,Remifentanil,132875-61-7,General_consumer_product; Pharmaceutical
DTXSID00178253,2-(1-Oxopropyl)benzoic acid,2360-45-4,Artificial_liquids; Chemicals_that_emit_or_offgas; Children_products_and_toys
DTXSID00181747,"Benzo-1,2,3-thiadiazole",273-77-8,Active_ingredient_in_products; Pesticides
DTXSID00185644,4-Propylheptane,3178-29-8,Air_near_source; Chemicals_that_emit_or_offgas; Children_products_and_toys
DTXSID00197080,Lemax,4727-29-1,Active_ingredient_in_products; Pesticides
DTXSID00197560,Daphnetin,486-35-1,Active_ingredient_in_products; Pesticides
DTXSID00199589,Magnesium p-toluenesulphonate,51650-46-5,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID0020022,Acifluorfen,50594-66-6,Active_ingredient_in_products; Pesticides; Food; Bottled_and_finished_water_for_consumption
DTXSID0020074,Gabapentin,60142-96-3,General_consumer_product; Surface_water; Bottled_and_finished_water_for_consumption; Pharmaceutical
DTXSID0020076,Amitrole,61-82-5,Active_ingredient_in_products; Pesticides
DTXSID0020078,Ammonium chloride,12125-02-9,Petrochemicals; Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID0020105,Sodium L-ascorbate,134-03-2,Human_food_from_animals; Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use; Pharmaceutical
DTXSID0020151,Benzyl acetate,140-11-4,Air_near_source; General_consumer_product; Chemicals_that_emit_or_offgas; Household_care_and_cleaning_products; Vehicles; Personal_care; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID0020153,Benzyl chloride,100-44-7,Air_near_source; Arts_and_crafts_or_office_supplies; Chemicals_that_emit_or_offgas; Vehicles; Electronics
DTXSID0020232,Caffeine,58-08-2,Active_ingredient_in_products; Pesticides; Pharmaceutical; Soil; Wastewater; Bottled_and_finished_water_for_consumption; Surface_water; Groundwater; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID0020234,Calcium acetate,62-54-4,Active_ingredient_in_products; Pesticides; Food_supplement; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pharmaceutical
DTXSID0020236,Calcium lactate,814-80-2,Human_food_from_animals; Personal_care; Food_supplement; Food_additive; Inert_ingredient_in_products; Pesticides
DTXSID0020311,Monuron,150-68-5,Active_ingredient_in_products; Pesticides; Bottled_and_finished_water_for_consumption
DTXSID0020315,Chloropicrin,76-06-2,Active_ingredient_in_products; Pesticides; Food; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID0020319,Chlorothalonil,1897-45-6,Active_ingredient_in_products; Pesticides; Food; Human_food_from_animals; Groundwater; Crops_and_animal_feed; Surface_water; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID0020365,Cyclosporin A,59865-13-3,Active_ingredient_in_products; Pharmaceutical
DTXSID0020369,Dacarbazine,4342-03-4,General_consumer_product; Pharmaceutical
DTXSID0020440,Dichlorprop,120-36-5,Active_ingredient_in_products; Pesticides; Food; Bottled_and_finished_water_for_consumption; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID0020442,"2,4-Dichlorophenoxyacetic acid",94-75-7,Active_ingredient_in_products; Pesticides; Food; Crops_and_animal_feed; Surface_water; Bottled_and_finished_water_for_consumption; Groundwater
DTXSID0020444,"2,4-D isooctyl ester",25168-26-7,Active_ingredient_in_products; Pesticides
DTXSID0020446,Diuron,330-54-1,Active_ingredient_in_products; Pesticides; Groundwater; Food; Crops_and_animal_feed; Surface_water; Bottled_and_finished_water_for_consumption; Human_food_from_animals
DTXSID0020448,"1,2-Dichloropropane",78-87-5,Active_ingredient_in_products; Pesticides; Bottled_and_finished_water_for_consumption
DTXSID0020498,Dimethyl terephthalate,120-61-6,Bottled_and_finished_water_for_consumption; Product_manufacturing; Substances_in_contact_with_food
DTXSID0020523,"2,4-Dinitrophenol",51-28-5,Active_ingredient_in_products; Pesticides
DTXSID0020573,17beta-Estradiol,50-28-2,Personal_care; Wastewater; Surface_water; Bottled_and_finished_water_for_consumption; Pharmaceutical
DTXSID0020575,Estragole,140-67-0,Air_near_source; Chemicals_that_emit_or_offgas; Personal_care
DTXSID0020600,Ethylene oxide,75-21-8,Active_ingredient_in_products; Pesticides; General_consumer_product; Substances_in_contact_with_food; Bottled_and_finished_water_for_consumption; Product_manufacturing
DTXSID0020606,Bis(2-ethylhexyl)hexanedioate,103-23-1,Arts_and_crafts_or_office_supplies; Product_manufacturing; Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides; Vehicles
DTXSID0020652,Gemfibrozil,25812-30-0,Pharmaceutical; Soil; Wastewater; Bottled_and_finished_water_for_consumption; Surface_water
DTXSID0020654,Geranyl acetate,105-87-3,Personal_care; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID0020656,Gibberellic acid,77-06-5,Active_ingredient_in_products; Pesticides; Food; Crops_and_animal_feed; Arts_and_crafts_or_office_supplies; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID0020737,Indole,120-72-9,Active_ingredient_in_products; Pesticides; Wastewater; Bottled_and_finished_water_for_consumption; Inert_ingredient_in_products; Labeled_for_nonfood_use; Product_manufacturing
DTXSID0020789,Magnesium chloride hexahydrate,7791-18-6,Personal_care; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID00208089,L-Histidine hydrochloride monohydrate,5934-29-2,Active_ingredient_in_products; Personal_care
DTXSID0020814,Mestranol,72-33-3,Surface_water; Pharmaceutical
DTXSID0020868,Dichloromethane,75-09-2,Air_near_source; Chemicals_that_emit_or_offgas; Children_products_and_toys; Arts_and_crafts_or_office_supplies; General_consumer_product; Substances_in_contact_with_food; Bottled_and_finished_water_for_consumption
DTXSID0020941,Sodium nitrite,7632-00-0,Active_ingredient_in_products; Pesticides; General_consumer_product; Household_care_and_cleaning_products; Vehicles; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pharmaceutical
DTXSID0021096,N-Oxydiethylene-2-benzothiazylsulfenamide,102-77-2,Bottled_and_finished_water_for_consumption; Product_manufacturing; Substances_in_contact_with_food
DTXSID0021125,Phenolphthalein,77-09-8,Active_ingredient_in_products; Pharmaceutical
DTXSID0021175,Polysorbate 80,9005-65-6,Active_ingredient_in_products; Pesticides; General_consumer_product; Bottled_and_finished_water_for_consumption; Product_manufacturing; Personal_care; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pharmaceutical
DTXSID0021177,Potassium bicarbonate,298-14-6,Active_ingredient_in_products; Pesticides; Food; Human_food_from_animals; Food_supplement; Food_additive; Product_manufacturing; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID0021206,"1,2-Propylene glycol",57-55-6,Active_ingredient_in_products; Pesticides; Air_near_source; Arts_and_crafts_or_office_supplies; Chemicals_that_emit_or_offgas; Vehicles; General_consumer_product; Children_products_and_toys; Human_food_from_animals; Artificial_liquids; Personal_care; Household_care_and_cleaning_products; Electronics; Bottled_and_finished_water_for_consumption; Product_manufacturing; Occupational_products; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID0021331,Tetrakis(hydroxymethyl)phosphonium sulfate,55566-30-8,Active_ingredient_in_products; Pesticides; Petrochemicals; Substances_in_contact_with_food
DTXSID0021333,Tetramethylthiuram monosulfide,97-74-5,Artificial_liquids; Chemicals_that_emit_or_offgas; General_consumer_product; Bottled_and_finished_water_for_consumption; Product_manufacturing; Substances_in_contact_with_food
DTXSID0021337,Thiabendazole,148-79-8,Active_ingredient_in_products; Pesticides; Food; Human_food_from_animals; Personal_care; Pharmaceutical; Soil; Wastewater; Crops_and_animal_feed; Surface_water; Bottled_and_finished_water_for_consumption
DTXSID0021339,Thiotepa,52-24-4,General_consumer_product; Pharmaceutical
DTXSID0021381,"1,1,1-Trichloroethane",71-55-6,Bottled_and_finished_water_for_consumption; Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides; Vehicles
DTXSID0021385,Folpet,133-07-3,Active_ingredient_in_products; Pesticides; Food; Crops_and_animal_feed; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID0021387,"2-(2,4,5-Trichlorophenoxy)propionic acid",93-72-1,Active_ingredient_in_products; Pesticides
DTXSID0021389,Trichlorfon,52-68-6,Active_ingredient_in_products; Pesticides; Food; Personal_care; Pharmaceutical
DTXSID0021414,Tris(2-ethylhexyl) phosphate,78-42-2,Artificial_liquids; Chemicals_that_emit_or_offgas; General_consumer_product; Crops_and_animal_feed; Pesticides; Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID0021462,Zinc dibutyldithiocarbamate,136-23-2,Bottled_and_finished_water_for_consumption; Product_manufacturing; Substances_in_contact_with_food
DTXSID0021464,Ziram,137-30-4,Active_ingredient_in_products; Pesticides; Food; Bottled_and_finished_water_for_consumption; Product_manufacturing; Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID0021541,Chloromethane,74-87-3,General_consumer_product; Bottled_and_finished_water_for_consumption
DTXSID00215536,4-((2-Hydroxyethyl)amino)-3-nitrophenol,65235-31-6,Personal_care; Children_products_and_toys
DTXSID0021597,Heptanal,111-71-7,Air_near_source; Chemicals_that_emit_or_offgas; Children_products_and_toys; Arts_and_crafts_or_office_supplies; General_consumer_product
DTXSID0021599,Heptanenitrile,629-08-3,Air_near_source; Chemicals_that_emit_or_offgas; General_consumer_product
DTXSID0021759,2-Methyl-1-propanol,78-83-1,Active_ingredient_in_products; Pesticides; Air_near_source; Electronics; Chemicals_that_emit_or_offgas; Children_products_and_toys; Arts_and_crafts_or_office_supplies; Furniture; General_consumer_product; Home_maintenance_ and_building_materials; Household_care_and_cleaning_products; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID0021834,4-Nitrophenol,100-02-7,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID0021888,2-Pentanone,107-87-9,Air_near_source; Chemicals_that_emit_or_offgas; Children_products_and_toys; Arts_and_crafts_or_office_supplies; General_consumer_product
DTXSID0021917,n-Hexane,110-54-3,Air_near_source; Arts_and_crafts_or_office_supplies; Chemicals_that_emit_or_offgas; Electronics; Vehicles; Home_maintenance_ and_building_materials; General_consumer_product; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID0021961,Benzophenone,119-61-9,Air_near_source; Household_care_and_cleaning_products; Chemicals_that_emit_or_offgas; Artificial_liquids; General_consumer_product; Arts_and_crafts_or_office_supplies; Personal_care; Surface_water; Bottled_and_finished_water_for_consumption; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID0021969,4-Hydroxy-3-methoxybenzaldehyde,121-33-5,Active_ingredient_in_products; Pesticides; Air_near_source; Household_care_and_cleaning_products; Chemicals_that_emit_or_offgas; Artificial_liquids; Children_products_and_toys; Furniture; General_consumer_product; Electronics; Personal_care; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID0022010,cis-Oleyl alcohol,143-28-2,Active_ingredient_in_products; Pesticides; Bottled_and_finished_water_for_consumption; Product_manufacturing; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID0022018,Disulfoton,298-04-4,Active_ingredient_in_products; Pesticides; Food; Crops_and_animal_feed; Surface_water
DTXSID0022062,3-Methyl-2-butanone,563-80-4,Air_near_source; Arts_and_crafts_or_office_supplies; Chemicals_that_emit_or_offgas; General_consumer_product
DTXSID0022068,2-Hexanone,591-78-6,Air_near_source; Chemicals_that_emit_or_offgas; Children_products_and_toys; General_consumer_product
DTXSID0022301,Flucythrinate,70124-77-5,Active_ingredient_in_products; Pesticides
DTXSID0022432,Chrysene,218-01-9,Product_manufacturing; Petrochemicals
DTXSID0022519,Folic acid,59-30-3,Active_ingredient_in_products; Pesticides; Food_supplement; Food_additive; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pharmaceutical
DTXSID0022563,Albendazole,54965-21-8,Active_ingredient_in_products; General_consumer_product; Pharmaceutical
DTXSID00226021,Ferric saccharate,75050-77-0,Food_supplement; Food_additive
DTXSID0022727,Canthaxanthin,514-78-3,Personal_care; Food; Pharmaceutical
DTXSID0022773,Ceftriaxone,73384-59-5,General_consumer_product; Pharmaceutical
DTXSID0022777,Celecoxib,169590-42-5,General_consumer_product; Pharmaceutical
DTXSID0022985,Ephedrine,299-42-3,General_consumer_product; Pharmaceutical
DTXSID0022989,Eprosartan,133040-01-4,General_consumer_product; Pharmaceutical
DTXSID0023038,Famciclovir,104227-87-4,General_consumer_product; Pharmaceutical
DTXSID0023086,Fusidic acid,6990-06-3,Active_ingredient_in_products; Pharmaceutical
DTXSID0023111,Granisetron,109889-09-0,General_consumer_product; Pharmaceutical
DTXSID0023113,2-Methoxyphenol,90-05-1,Active_ingredient_in_products; Pesticides; Air_near_source; Household_care_and_cleaning_products; Chemicals_that_emit_or_offgas; Artificial_liquids; Children_products_and_toys
DTXSID0023117,Guanidine,113-00-8,Air_near_source; Chemicals_that_emit_or_offgas; General_consumer_product; Artificial_liquids; Substances_in_contact_with_food; Pharmaceutical
DTXSID00231231,Behentrimonium methosulfate,81646-13-1,Children_products_and_toys; Personal_care
DTXSID0023163,Iopromide,73334-07-3,General_consumer_product; Pharmaceutical; Surface_water
DTXSID0023169,Irbesartan,138402-11-6,General_consumer_product; Pharmaceutical
DTXSID0023296,Methylene blue,61-73-4,Active_ingredient_in_products; Pesticides; Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pharmaceutical
DTXSID0023325,Mirtazapine,61337-67-5,General_consumer_product; Pharmaceutical
DTXSID0023329,Modafinil,68693-11-8,General_consumer_product; Pharmaceutical
DTXSID0023379,Norethandrolone,52-78-8,Active_ingredient_in_products; Pharmaceutical
DTXSID0023458,Phenoxybenzamine,59-96-1,Children_products_and_toys; Pharmaceutical
DTXSID0023533,Protirelin,24305-27-9,General_consumer_product; Pharmaceutical
DTXSID0023537,Pseudoephedrine,90-82-4,Bottled_and_finished_water_for_consumption; Pharmaceutical
DTXSID0023581,Simvastatin,79902-63-9,General_consumer_product; Pharmaceutical
DTXSID0023612,Sulfamerazine,127-79-7,Pharmaceutical; Surface_water
DTXSID0023745,D-Xylose,58-86-6,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID0023747,"2',3'-Dideoxycytidine",7481-89-2,General_consumer_product; Pharmaceutical
DTXSID0023749,Zanamivir,139110-80-8,General_consumer_product; Pharmaceutical
DTXSID0023826,Isophorone diisocyanate,4098-71-9,Arts_and_crafts_or_office_supplies; Substances_in_contact_with_food; Electronics; Children_products_and_toys
DTXSID0023870,4-Aminopyridine,504-24-5,Active_ingredient_in_products; Pesticides; Pharmaceutical
DTXSID0023872,Ammonia,7664-41-7,Active_ingredient_in_products; Pesticides; Air_near_source; Chemicals_that_emit_or_offgas; General_consumer_product; Bottled_and_finished_water_for_consumption; Product_manufacturing; Vehicles; Substances_in_contact_with_food
DTXSID0023878,Anthracene,120-12-7,Household_care_and_cleaning_products; Wastewater; Children_products_and_toys; Bottled_and_finished_water_for_consumption; Product_manufacturing
DTXSID0023901,Bentazone,25057-89-0,Active_ingredient_in_products; Pesticides; Food; Crops_and_animal_feed; Bottled_and_finished_water_for_consumption; Groundwater; Surface_water
DTXSID0023907,Benzo(b)fluoranthene,205-99-2,Arts_and_crafts_or_office_supplies; Product_manufacturing; Petrochemicals
DTXSID0023909,Benzo(k)fluoranthene,207-08-9,Arts_and_crafts_or_office_supplies; Petrochemicals
DTXSID00239494,2-(2-(4-(2-Methylheptan-2-yl)phenoxy)ethoxy)ethanol,93633-24-0,Wastewater; Surface_water; Bottled_and_finished_water_for_consumption
DTXSID0023951,Carboxin,5234-68-4,Active_ingredient_in_products; Pesticides; Crops_and_animal_feed; Food
DTXSID0023955,Chlorimuron-ethyl,90982-32-4,Active_ingredient_in_products; Pesticides; Food; Groundwater; Bottled_and_finished_water_for_consumption; Surface_water
DTXSID0024000,Chlorthal-dimethyl,1861-32-1,Active_ingredient_in_products; Pesticides; Surface_water; Food; Bottled_and_finished_water_for_consumption; Crops_and_animal_feed
DTXSID0024002,Fenpropathrin,39515-41-8,Active_ingredient_in_products; Pesticides; Food; Crops_and_animal_feed
DTXSID0024050,"1,1-Difluoroethane",75-37-6,Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID0024052,Dimethipin,55290-64-7,Active_ingredient_in_products; Pesticides; Crops_and_animal_feed; Bottled_and_finished_water_for_consumption
DTXSID0024183,Methyl acrylate,96-33-3,Bottled_and_finished_water_for_consumption; Product_manufacturing
DTXSID0024187,Methyl iodide,74-88-4,Active_ingredient_in_products; Pesticides; Pharmaceutical
DTXSID0024216,Nitrapyrin,1929-82-4,Active_ingredient_in_products; Pesticides
DTXSID0024266,Pirimiphos-methyl,29232-93-7,Active_ingredient_in_products; Pesticides; Food; Human_food_from_animals; Crops_and_animal_feed
DTXSID0024268,Potassium cyanide,151-50-8,General_consumer_product; Pesticides
DTXSID0024343,Tralomethrin,66841-25-6,Active_ingredient_in_products; Pesticides; Crops_and_animal_feed; Food
DTXSID0024345,Triasulfuron,82097-50-5,Active_ingredient_in_products; Pesticides; Food; Crops_and_animal_feed; Groundwater; Bottled_and_finished_water_for_consumption; Personal_care; General_consumer_product
DTXSID0024395,Acetic anhydride,108-24-7,Active_ingredient_in_products; Pesticides; Bottled_and_finished_water_for_consumption; Product_manufacturing; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID0024553,Azodicarbonamide,123-77-3,Product_manufacturing; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID0024719,Wollastonite,13983-17-0,Bottled_and_finished_water_for_consumption; Product_manufacturing; Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID0024842,Coconut oil acid/Diethanolamine condensate (2:1),68603-42-9,Active_ingredient_in_products; Pesticides; Children_products_and_toys; Personal_care; Household_care_and_cleaning_products; Inert_ingredient_in_products; Labeled_for_nonfood_use
